gene_id	log2FoldChange	padj
TRINITY_DN460_c0_g1_i1	-3.91667557372398	1.22026558633274e-268
TRINITY_DN984_c0_g1_i1	-3.75058720794606	2.4426108487666e-229
TRINITY_DN1841_c0_g1_i1	-2.67480587432533	2.8076065676479e-193
TRINITY_DN76_c0_g1_i1	-4.37275686258489	2.47051708157453e-181
TRINITY_DN33_c0_g1_i3	-1.54729922989477	6.78494806713896e-181
TRINITY_DN1879_c0_g1_i1	-2.42680791517287	1.47094414951808e-173
TRINITY_DN108_c1_g1_i1	-3.69148022347093	6.13776855292269e-156
TRINITY_DN108_c0_g1_i5	-3.49591809630333	1.95124712349207e-150
TRINITY_DN108_c0_g1_i2	-3.29283595342768	7.46834833597868e-137
TRINITY_DN3663_c0_g1_i1	-2.51939486902944	1.15181887485756e-126
TRINITY_DN7361_c0_g1_i1	-2.23759758715379	1.74810646847116e-123
TRINITY_DN5290_c0_g1_i1	-3.06380099224825	1.02579521950541e-97
TRINITY_DN81_c0_g1_i1	-1.53948099814338	1.86887817727908e-96
TRINITY_DN1061_c0_g1_i1	-2.00936432576792	2.24122192338491e-88
TRINITY_DN7128_c0_g1_i1	-3.04758988668564	1.0929868850962e-82
TRINITY_DN9050_c0_g1_i1	-2.47863367324279	1.25895762347251e-81
TRINITY_DN108_c0_g1_i1	-3.65623825031169	6.95193556007473e-79
TRINITY_DN6911_c0_g1_i1	-1.89246176696222	5.83203454982573e-78
TRINITY_DN5343_c0_g1_i1	-2.80181745827167	6.12343006232984e-77
TRINITY_DN2177_c0_g1_i1	-1.79646515435819	4.31283054488558e-68
TRINITY_DN6627_c0_g1_i1	-1.39748199998871	5.422941587208e-68
TRINITY_DN6944_c0_g1_i1	-2.02023941099394	3.22335666564387e-66
TRINITY_DN1908_c0_g1_i1	-2.74998910290517	3.22335666564387e-66
TRINITY_DN3567_c0_g1_i1	-1.97346855872337	1.02199077250337e-65
TRINITY_DN7996_c0_g1_i1	-3.15748053376294	5.47071393218434e-64
TRINITY_DN26_c0_g1_i1	-1.40640058434241	5.48922111614347e-64
TRINITY_DN6619_c0_g1_i1	-3.24570073264899	5.48922111614347e-64
TRINITY_DN4360_c0_g1_i1	-3.51190509497741	1.79928102662086e-63
TRINITY_DN5955_c0_g1_i1	-1.95252314764061	1.81504259659342e-62
TRINITY_DN2276_c0_g1_i1	-1.37789620462245	5.68933444706698e-62
TRINITY_DN6614_c0_g1_i1	-1.36484028182186	2.37036081209165e-61
TRINITY_DN3655_c0_g1_i1	-2.81204764048051	3.08111150803238e-61
TRINITY_DN3543_c0_g1_i1	-1.05725477014576	1.48847852539161e-59
TRINITY_DN8136_c0_g1_i1	-2.02237507779144	5.42205584267968e-58
TRINITY_DN3566_c0_g1_i1	-3.81611141612885	1.17398035070847e-55
TRINITY_DN90_c0_g1_i1	-2.12803943270185	4.38138310732167e-55
TRINITY_DN670_c0_g1_i1	-2.47870631445062	5.9986354505629e-55
TRINITY_DN679_c0_g1_i1	-1.62575650317222	2.62621644270702e-54
TRINITY_DN5538_c0_g1_i1	-1.49149493603158	2.87517635341679e-54
TRINITY_DN663_c0_g1_i1	-1.74785046757142	1.09445186150148e-53
TRINITY_DN93_c0_g1_i1	-3.0097167072828	8.70341091104043e-51
TRINITY_DN86_c0_g1_i2	-3.77527640776743	5.29886306948751e-50
TRINITY_DN26_c1_g1_i2	-1.58076430710008	4.66112580218433e-49
TRINITY_DN759_c0_g1_i1	-1.37463357115721	4.89395096386383e-49
TRINITY_DN8327_c0_g1_i1	-1.40497292755278	1.55669131312704e-48
