gene_id	log2FoldChange	padj
TRINITY_DN7108_c0_g1_i1	7.91133608485755	4.85207359685989e-243
TRINITY_DN45_c0_g1_i2	2.49406557734519	9.21049689776463e-101
TRINITY_DN773_c0_g1_i1	1.11516315329941	1.02199077250337e-65
TRINITY_DN524_c0_g1_i1	1.85886661143189	3.85591065383182e-35
TRINITY_DN113_c0_g1_i1	1.27783358401841	9.57272470138458e-35
TRINITY_DN8328_c0_g1_i1	1.58507890136493	1.14223807006026e-27
TRINITY_DN8783_c0_g1_i1	2.21811038312452	1.64619713478009e-27
TRINITY_DN925_c0_g1_i1	1.88617685266534	1.45074733234742e-26
TRINITY_DN797_c0_g1_i1	1.52877041640956	3.6211129918475e-26
TRINITY_DN5566_c0_g1_i1	1.86718454790041	7.25988192004951e-23
TRINITY_DN45_c0_g1_i1	1.34380555829951	8.25757568111548e-20
TRINITY_DN5956_c0_g1_i1	1.14782777214891	1.57947736028167e-19
TRINITY_DN7939_c0_g1_i1	1.28906132685328	3.04500707212513e-19
TRINITY_DN8102_c0_g1_i1	1.33911307593802	6.43213073233502e-19
TRINITY_DN2208_c0_g1_i1	1.30700254261316	1.50553088464881e-17
TRINITY_DN8744_c0_g1_i1	1.46523135644211	8.71759957020091e-17
TRINITY_DN4216_c0_g1_i1	1.12419647660527	1.69655909692168e-16
TRINITY_DN4397_c0_g1_i1	1.21453980866039	1.93179177542588e-16
TRINITY_DN3736_c0_g1_i1	1.0006830748711	7.8105847902461e-15
TRINITY_DN592_c0_g1_i1	1.05291545946255	1.52794188910686e-14
TRINITY_DN8974_c0_g1_i1	1.27085002825109	1.84980757616597e-14
TRINITY_DN9094_c0_g1_i1	4.9563992802487	3.5780591032619e-14
TRINITY_DN4492_c0_g1_i1	3.70474052382834	6.00007315841072e-14
TRINITY_DN536_c0_g1_i1	1.31082149589222	1.55459712230407e-13
TRINITY_DN6753_c0_g1_i1	1.51964693729175	1.93463414717815e-13
TRINITY_DN6804_c0_g1_i1	2.29910104607972	2.5499415329404e-13
TRINITY_DN7389_c0_g1_i1	1.37792812700749	3.70798660708976e-13
TRINITY_DN4642_c0_g1_i1	4.79666867751054	8.69195832909832e-13
TRINITY_DN8698_c0_g1_i1	1.11319206451223	1.44736173176628e-12
TRINITY_DN2302_c0_g1_i1	1.36711242510745	8.59086081677884e-12
TRINITY_DN9304_c0_g1_i1	4.68482364773657	1.40840634208233e-11
TRINITY_DN659_c0_g1_i1	1.03395037856307	1.9713992655229e-11
TRINITY_DN3520_c0_g1_i1	1.17199644452257	2.53785436282966e-11
TRINITY_DN5385_c0_g1_i1	4.42845782431852	5.78659623024394e-11
TRINITY_DN2698_c0_g1_i1	2.48250359643778	5.79569032245292e-11
TRINITY_DN6582_c0_g1_i1	2.43254420186818	1.43732428970697e-10
TRINITY_DN5269_c0_g1_i1	1.03196627458451	5.44257839379614e-10
TRINITY_DN647_c0_g1_i1	1.72781900256531	7.13280300618861e-10
TRINITY_DN2329_c0_g1_i1	1.37623600639068	9.16073440799686e-10
TRINITY_DN8831_c0_g1_i1	1.30742980692935	5.36115084597797e-09
TRINITY_DN2930_c0_g1_i1	1.03303475041473	1.8037475837047e-08
TRINITY_DN918_c0_g1_i1	1.03506989089195	2.2155018007113e-08
TRINITY_DN1984_c0_g1_i1	1.90414033830848	2.87590631401573e-08
TRINITY_DN8173_c0_g1_i1	1.03266607683571	4.51320368582574e-08
TRINITY_DN6723_c0_g1_i1	1.07796060986314	4.96416783634435e-08
TRINITY_DN5584_c0_g1_i1	1.01113709852732	6.6511384424591e-08
TRINITY_DN69_c1_g1_i1	1.53447482486196	6.94644341991017e-08
TRINITY_DN5657_c0_g1_i1	1.42175439956123	1.05240222347627e-07
TRINITY_DN770_c0_g1_i1	1.29214568764955	2.03380992637652e-07
TRINITY_DN3147_c0_g1_i1	3.41349594570311	2.2974416492203e-07
TRINITY_DN63_c0_g1_i1	1.26405505185554	2.65127292204533e-07
TRINITY_DN6913_c0_g1_i1	1.67827323866752	3.94199660911458e-07
TRINITY_DN4259_c0_g1_i1	1.00783212081877	8.33841999016303e-07
TRINITY_DN2628_c0_g1_i1	1.0331952855033	8.4717308738153e-07
TRINITY_DN593_c0_g1_i1	1.64757714756706	8.82452463210146e-07
TRINITY_DN2914_c0_g1_i1	1.21364641229267	1.07309808926998e-06
TRINITY_DN3112_c0_g1_i1	2.20509199481585	1.11490230606355e-06
TRINITY_DN4838_c0_g1_i1	3.38456340164574	1.49835437277284e-06
TRINITY_DN5402_c0_g1_i1	1.40212218588375	2.13476964582954e-06
TRINITY_DN4547_c0_g1_i1	1.47512144735651	2.28185068643587e-06
TRINITY_DN7481_c0_g1_i1	1.0681724024744	2.95123628665596e-06
TRINITY_DN4134_c0_g1_i1	1.06483825519619	3.15747220984695e-06
TRINITY_DN6578_c0_g1_i1	1.20961989040439	4.02242418934098e-06
TRINITY_DN7040_c0_g1_i1	1.0565957093664	4.49146294317052e-06
TRINITY_DN2651_c0_g1_i1	1.35557481143712	4.52639946886153e-06
TRINITY_DN4857_c0_g1_i1	2.64242004667493	4.67019758837942e-06
TRINITY_DN1775_c0_g1_i1	3.51030834499737	5.07250341306294e-06
TRINITY_DN8247_c0_g1_i1	1.33438860905242	7.77809489106758e-06
TRINITY_DN2943_c0_g1_i1	2.01150610845072	1.6747897099931e-05
TRINITY_DN4009_c0_g1_i1	1.65806993908103	1.97456526796585e-05
TRINITY_DN2617_c0_g1_i1	1.09938627594982	2.44822943822883e-05
TRINITY_DN1615_c0_g1_i1	1.45802075218971	2.52542446499926e-05
TRINITY_DN5211_c0_g1_i1	1.06944038037468	3.08340133827767e-05
TRINITY_DN7444_c0_g1_i1	1.88003609290605	3.22814872116771e-05
TRINITY_DN6009_c0_g1_i1	1.6528324727567	3.31212698120643e-05
TRINITY_DN5782_c0_g1_i1	1.58452383932002	3.41419303558043e-05
TRINITY_DN7345_c0_g1_i1	1.63010431226685	3.53705727041379e-05
TRINITY_DN2638_c0_g1_i1	1.18173199911656	5.01069143776653e-05
TRINITY_DN7525_c0_g1_i1	1.2980428559036	6.23025835278295e-05
TRINITY_DN4392_c0_g1_i1	1.99584561053427	6.28686152085897e-05
TRINITY_DN6995_c0_g1_i1	1.58414523901646	6.68956101769904e-05
TRINITY_DN4429_c0_g1_i1	1.87168920320578	7.52465546852775e-05
TRINITY_DN5674_c0_g1_i1	1.4923682798275	7.83447369720245e-05
TRINITY_DN4486_c0_g1_i1	1.25525169642812	8.7586474816979e-05
TRINITY_DN8810_c0_g1_i1	1.2413329379536	9.058208054893e-05
TRINITY_DN8660_c0_g1_i1	1.34422044295186	9.40646994187956e-05
TRINITY_DN1174_c0_g1_i1	2.00302699186559	0.000127210660875684
TRINITY_DN5905_c0_g1_i1	1.76471664760846	0.000165562537829668
TRINITY_DN2020_c0_g1_i1	1.48216385709527	0.000172618301105485
TRINITY_DN1092_c0_g1_i1	2.50079547723526	0.000177677168494918
TRINITY_DN330_c0_g1_i1	1.00338604687634	0.000252654435498666
TRINITY_DN5726_c0_g1_i1	1.05603068499955	0.000262690894126577
TRINITY_DN5244_c0_g1_i1	1.80939455008508	0.000291768290670508
TRINITY_DN5789_c0_g1_i1	1.73153018505792	0.000292901592558909
TRINITY_DN6220_c0_g1_i1	2.04552030707593	0.000333087674437641
TRINITY_DN5555_c0_g1_i1	1.21121291319051	0.000345504335373023
TRINITY_DN208_c0_g1_i1	1.5169347415899	0.000372996638327627
TRINITY_DN6569_c0_g1_i1	1.21453947047202	0.00040958772143306
TRINITY_DN4051_c0_g1_i1	1.07210477767498	0.000492017421053985
TRINITY_DN5363_c0_g1_i1	1.70373478345483	0.000640851381338443
TRINITY_DN7192_c0_g1_i1	1.1777273053241	0.000733925960261957
TRINITY_DN3262_c0_g1_i1	1.65179689579166	0.000804180261670867
TRINITY_DN2448_c1_g1_i1	2.72123411821152	0.000814276302854262
TRINITY_DN5634_c0_g1_i1	1.72310421022206	0.000956514693215668
TRINITY_DN8421_c0_g1_i1	2.58434960894229	0.00100712301416749
TRINITY_DN7701_c0_g1_i1	2.82049796621722	0.00102103675659166
TRINITY_DN6759_c0_g1_i1	1.20047937079885	0.00120923896333428
TRINITY_DN2765_c0_g1_i1	2.23417603371295	0.00126728731159616
TRINITY_DN1591_c0_g1_i1	2.83941338945521	0.00138930393976213
TRINITY_DN4413_c0_g1_i1	1.67010096918982	0.00139749937325179
TRINITY_DN3133_c0_g1_i1	1.63508891002919	0.0014039671665952
TRINITY_DN4361_c0_g1_i1	1.25122542602505	0.00147388304342688
TRINITY_DN4144_c0_g1_i1	2.54275320961429	0.00162831406411508
TRINITY_DN3745_c0_g1_i1	1.21171841363683	0.0016330035184874
TRINITY_DN8491_c0_g1_i1	1.74280901949243	0.0017215221427759
TRINITY_DN3014_c0_g1_i1	2.91376086470017	0.00173182992441364
TRINITY_DN1186_c0_g1_i1	2.44092249199531	0.00180630800381636
TRINITY_DN5569_c0_g1_i1	1.17624903128506	0.00196516371301511
TRINITY_DN3973_c1_g1_i1	1.20030230758118	0.00198325929304914
TRINITY_DN7850_c0_g1_i1	1.14844406851004	0.00201777801775379
TRINITY_DN3771_c0_g1_i1	1.2252615501907	0.00204667516656926
TRINITY_DN2158_c0_g1_i1	2.64230840556579	0.00210954982455724
TRINITY_DN669_c0_g1_i1	1.16386626984242	0.00231311393343385
TRINITY_DN4836_c0_g1_i1	2.30153553929018	0.00257671151549262
TRINITY_DN1555_c0_g1_i1	2.12799351985038	0.00292058095246923
TRINITY_DN7674_c0_g1_i1	1.39420652349218	0.00295778966186199
TRINITY_DN4444_c0_g1_i1	1.28399339676681	0.00311916993108106
TRINITY_DN8945_c0_g1_i1	1.29450591105509	0.00344171585647489
TRINITY_DN8002_c0_g1_i1	2.56704509878525	0.00352691067902641
TRINITY_DN9218_c0_g1_i1	2.35214618586081	0.00391891848322997
TRINITY_DN6421_c0_g1_i1	2.46270651544089	0.00432146829138043
TRINITY_DN4115_c0_g1_i1	2.40055281674892	0.00432461927908257
TRINITY_DN1600_c0_g1_i1	2.50092994868072	0.00432461927908257
TRINITY_DN9233_c0_g1_i1	1.37521513559985	0.00452902927583059
TRINITY_DN7455_c0_g1_i1	1.28169237689427	0.00500795578514462
TRINITY_DN7793_c0_g1_i1	2.249721513979	0.00559220339027778
TRINITY_DN6574_c0_g1_i1	2.24913510082928	0.00564657267032478
TRINITY_DN5502_c0_g1_i1	2.40312334869319	0.00589448621534575
TRINITY_DN6062_c0_g1_i1	1.30467051120183	0.0060720275418632
TRINITY_DN4984_c0_g1_i1	1.81490252824436	0.00633950134843884
TRINITY_DN74_c0_g1_i1	2.99339098346301	0.00674960006979421
TRINITY_DN9247_c0_g1_i1	1.55195022513862	0.0068396620217971
TRINITY_DN4230_c0_g1_i1	2.11580145700694	0.00699712414416321
TRINITY_DN4154_c0_g1_i1	2.24849962811857	0.00732764174497976
TRINITY_DN5661_c0_g1_i1	1.09315177685478	0.00734769917266291
TRINITY_DN5730_c0_g1_i1	1.10266470715832	0.0076287890118778
TRINITY_DN6027_c0_g1_i1	2.43067562560353	0.0079633763456169
TRINITY_DN9362_c0_g1_i1	1.93177136444545	0.00810646118752583
TRINITY_DN7515_c0_g1_i1	1.5738670724646	0.00835138129805669
TRINITY_DN6375_c0_g1_i1	2.44077821365354	0.0085244324829369
TRINITY_DN1283_c0_g1_i1	1.20384685695676	0.00868075364125786
TRINITY_DN2429_c0_g1_i1	1.05646395713169	0.00945301416641716
TRINITY_DN8371_c0_g1_i1	1.51870918835423	0.00950074398165092
TRINITY_DN7382_c0_g1_i1	1.00402238926344	0.00964837794676753
TRINITY_DN3118_c0_g1_i1	1.23629966230835	0.00982497020387199
TRINITY_DN1465_c0_g1_i1	2.10909272529115	0.0104189348611548
TRINITY_DN637_c0_g1_i1	2.26660247380132	0.0105580042274858
TRINITY_DN885_c0_g1_i1	1.61993410652716	0.010655716624587
TRINITY_DN2678_c0_g1_i1	1.61228908064855	0.0122346655290049
TRINITY_DN7500_c0_g1_i1	1.09088261416551	0.0124587165787382
TRINITY_DN4155_c0_g1_i1	2.06960298921026	0.0135610050082574
TRINITY_DN1994_c0_g1_i1	2.21434321734058	0.0139348407379524
TRINITY_DN5970_c0_g1_i1	2.32743597481054	0.0139674490395343
TRINITY_DN4314_c0_g1_i1	1.67024533880478	0.0141082268546006
TRINITY_DN1672_c0_g1_i1	2.0960484594988	0.0141090816931131
TRINITY_DN3074_c0_g1_i1	1.15763563434538	0.0142141545838603
TRINITY_DN2361_c0_g1_i1	2.09555183527032	0.0149372746938257
TRINITY_DN5105_c0_g1_i1	2.09398087591817	0.0151495007488934
TRINITY_DN26_c1_g1_i10	5.43400893683337	0.0153803064886825
TRINITY_DN580_c0_g1_i1	1.21680065012972	0.0159311253922847
TRINITY_DN6183_c0_g1_i1	2.22834461201136	0.0159311253922847
TRINITY_DN682_c1_g1_i1	1.00797477401882	0.0159343685996916
TRINITY_DN7365_c0_g1_i1	2.09177270936778	0.0159944593715895
TRINITY_DN6079_c0_g1_i1	2.01286987018234	0.0160769670994599
TRINITY_DN4142_c0_g1_i1	1.27704171041928	0.0160899291171093
TRINITY_DN7583_c0_g1_i1	2.26171428003821	0.0163664662426823
TRINITY_DN5631_c0_g1_i1	1.28180335034822	0.0169377972432182
TRINITY_DN7477_c0_g1_i1	2.19985428583755	0.0173471294586072
TRINITY_DN6392_c0_g1_i1	1.24658662912686	0.0175907159281698
TRINITY_DN451_c0_g1_i1	1.78213546181946	0.0189663397700289
TRINITY_DN4502_c0_g1_i1	1.92903271151588	0.0190836953451201
TRINITY_DN6307_c0_g1_i1	1.51294313464857	0.0203209347552896
TRINITY_DN1536_c0_g1_i1	1.00981606189167	0.0207869383041859
TRINITY_DN5855_c0_g1_i1	2.12690577539937	0.0214550677283965
TRINITY_DN1188_c0_g1_i1	1.2229120465688	0.0220096753617466
TRINITY_DN7451_c0_g1_i1	1.18687715141573	0.0225343007353654
TRINITY_DN7766_c0_g1_i1	2.12269155111494	0.0232129464336557
TRINITY_DN6257_c0_g1_i1	1.85259079405185	0.0241213703224651
TRINITY_DN1196_c0_g1_i1	1.0760297379241	0.0242427123203462
TRINITY_DN4017_c0_g1_i1	1.49699155153558	0.0242427123203462
TRINITY_DN729_c0_g1_i1	1.02677033023867	0.0244884691323648
TRINITY_DN4605_c0_g1_i1	1.98054192011965	0.0253546131660473
TRINITY_DN4379_c0_g1_i1	1.39865854933054	0.0257898872605614
TRINITY_DN1758_c0_g1_i1	2.06983431245942	0.0265415851022166
TRINITY_DN7155_c0_g1_i1	1.20259565225638	0.0276204726603762
TRINITY_DN7340_c0_g1_i1	1.01400136494851	0.0283825998656077
TRINITY_DN9167_c0_g1_i1	1.54862255556004	0.0291378503978843
TRINITY_DN2906_c0_g1_i1	1.19086157097816	0.0295841553265239
TRINITY_DN6256_c0_g1_i1	2.02662577226951	0.0299873033159198
TRINITY_DN1365_c0_g1_i1	1.07192665789636	0.0300229167158092
TRINITY_DN8204_c0_g1_i1	1.29802752955818	0.0312594712393816
TRINITY_DN9077_c0_g1_i1	1.19056351844784	0.0318000747102633
TRINITY_DN8911_c0_g1_i1	1.85523263732277	0.0325351635647578
TRINITY_DN7241_c0_g1_i1	1.24359440333527	0.0336736015676319
TRINITY_DN3006_c0_g1_i1	2.02450103955411	0.0342757177069849
TRINITY_DN1080_c0_g1_i1	1.04928935951062	0.0342852817950484
TRINITY_DN7741_c0_g1_i1	1.95854744830728	0.0347037593097449
TRINITY_DN1343_c0_g1_i1	1.23681245723894	0.0391190943794206
TRINITY_DN7548_c0_g1_i1	1.32420063570896	0.0391190943794206
TRINITY_DN4669_c0_g1_i1	1.3880493131336	0.0411215819740433
TRINITY_DN4731_c0_g1_i1	1.02041739385829	0.0414740468244261
TRINITY_DN1310_c0_g1_i1	1.20887183908714	0.041656238734196
TRINITY_DN3361_c0_g1_i1	1.5328261209679	0.0433999866227667
TRINITY_DN8763_c0_g1_i1	1.17401495166348	0.0446866092082711
TRINITY_DN6230_c0_g1_i1	1.85443620049569	0.0455420653487757
TRINITY_DN3498_c0_g1_i1	1.85974539418932	0.0461579023014643
TRINITY_DN9432_c0_g1_i1	1.85062023594163	0.0463782624177614
TRINITY_DN1944_c0_g1_i1	1.3243051583349	0.0483967199625768
