sample_id	layout	trimmed	quant_sf	estimated_num_reads
SNF2KO_01	false		/home/kyhan/test/rna-seq/yeast-denovo-standard-24sample-out/03_results/denovo_expression/03_results/salmon/SNF2KO_01/quant.sf	456414.002
SNF2KO_02	false		/home/kyhan/test/rna-seq/yeast-denovo-standard-24sample-out/03_results/denovo_expression/03_results/salmon/SNF2KO_02/quant.sf	459984.004
SNF2KO_03	false		/home/kyhan/test/rna-seq/yeast-denovo-standard-24sample-out/03_results/denovo_expression/03_results/salmon/SNF2KO_03/quant.sf	457053.998
SNF2KO_04	false		/home/kyhan/test/rna-seq/yeast-denovo-standard-24sample-out/03_results/denovo_expression/03_results/salmon/SNF2KO_04/quant.sf	458466.996
SNF2KO_05	false		/home/kyhan/test/rna-seq/yeast-denovo-standard-24sample-out/03_results/denovo_expression/03_results/salmon/SNF2KO_05/quant.sf	456578.000
SNF2KO_06	false		/home/kyhan/test/rna-seq/yeast-denovo-standard-24sample-out/03_results/denovo_expression/03_results/salmon/SNF2KO_06/quant.sf	455412.000
SNF2KO_07	false		/home/kyhan/test/rna-seq/yeast-denovo-standard-24sample-out/03_results/denovo_expression/03_results/salmon/SNF2KO_07/quant.sf	458610.998
SNF2KO_08	false		/home/kyhan/test/rna-seq/yeast-denovo-standard-24sample-out/03_results/denovo_expression/03_results/salmon/SNF2KO_08/quant.sf	456073.996
SNF2KO_09	false		/home/kyhan/test/rna-seq/yeast-denovo-standard-24sample-out/03_results/denovo_expression/03_results/salmon/SNF2KO_09/quant.sf	457329.000
SNF2KO_10	false		/home/kyhan/test/rna-seq/yeast-denovo-standard-24sample-out/03_results/denovo_expression/03_results/salmon/SNF2KO_10/quant.sf	458600.000
SNF2KO_11	false		/home/kyhan/test/rna-seq/yeast-denovo-standard-24sample-out/03_results/denovo_expression/03_results/salmon/SNF2KO_11/quant.sf	458320.000
SNF2KO_12	false		/home/kyhan/test/rna-seq/yeast-denovo-standard-24sample-out/03_results/denovo_expression/03_results/salmon/SNF2KO_12/quant.sf	456509.998
WT_01	false		/home/kyhan/test/rna-seq/yeast-denovo-standard-24sample-out/03_results/denovo_expression/03_results/salmon/WT_01/quant.sf	458090.999
WT_02	false		/home/kyhan/test/rna-seq/yeast-denovo-standard-24sample-out/03_results/denovo_expression/03_results/salmon/WT_02/quant.sf	455496.999
WT_03	false		/home/kyhan/test/rna-seq/yeast-denovo-standard-24sample-out/03_results/denovo_expression/03_results/salmon/WT_03/quant.sf	453467.004
WT_04	false		/home/kyhan/test/rna-seq/yeast-denovo-standard-24sample-out/03_results/denovo_expression/03_results/salmon/WT_04/quant.sf	455532.996
WT_05	false		/home/kyhan/test/rna-seq/yeast-denovo-standard-24sample-out/03_results/denovo_expression/03_results/salmon/WT_05/quant.sf	455876.000
WT_06	false		/home/kyhan/test/rna-seq/yeast-denovo-standard-24sample-out/03_results/denovo_expression/03_results/salmon/WT_06/quant.sf	455424.004
WT_07	false		/home/kyhan/test/rna-seq/yeast-denovo-standard-24sample-out/03_results/denovo_expression/03_results/salmon/WT_07/quant.sf	456573.002
WT_08	false		/home/kyhan/test/rna-seq/yeast-denovo-standard-24sample-out/03_results/denovo_expression/03_results/salmon/WT_08/quant.sf	457333.999
WT_09	false		/home/kyhan/test/rna-seq/yeast-denovo-standard-24sample-out/03_results/denovo_expression/03_results/salmon/WT_09/quant.sf	459526.003
WT_10	false		/home/kyhan/test/rna-seq/yeast-denovo-standard-24sample-out/03_results/denovo_expression/03_results/salmon/WT_10/quant.sf	457633.997
WT_11	false		/home/kyhan/test/rna-seq/yeast-denovo-standard-24sample-out/03_results/denovo_expression/03_results/salmon/WT_11/quant.sf	459641.999
WT_12	false		/home/kyhan/test/rna-seq/yeast-denovo-standard-24sample-out/03_results/denovo_expression/03_results/salmon/WT_12/quant.sf	457245.002
