ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0009277	GO:0009277|fungal-type cell wall [cellular_component]	49/573	156/8538	5.52759334633569e-21	7.86023773848935e-18	7.86023773848935e-18	TRINITY_DN108_c0_g1_i2/TRINITY_DN108_c0_g1_i5/TRINITY_DN113_c0_g1_i1/TRINITY_DN1267_c0_g1_i1/TRINITY_DN152_c0_g1_i1/TRINITY_DN1546_c0_g1_i1/TRINITY_DN173_c0_g1_i1/TRINITY_DN1742_c0_g1_i1/TRINITY_DN1908_c0_g1_i1/TRINITY_DN194_c0_g1_i2/TRINITY_DN198_c1_g1_i1/TRINITY_DN2049_c0_g1_i1/TRINITY_DN2527_c0_g1_i1/TRINITY_DN3566_c0_g1_i1/TRINITY_DN3567_c0_g1_i1/TRINITY_DN3847_c0_g1_i1/TRINITY_DN4354_c0_g1_i1/TRINITY_DN4570_c0_g1_i1/TRINITY_DN4940_c0_g1_i1/TRINITY_DN5328_c0_g1_i1/TRINITY_DN54_c0_g1_i1/TRINITY_DN54_c0_g1_i2/TRINITY_DN54_c0_g1_i3/TRINITY_DN54_c0_g1_i5/TRINITY_DN5729_c0_g1_i1/TRINITY_DN5839_c0_g1_i1/TRINITY_DN5845_c0_g1_i1/TRINITY_DN606_c0_g1_i1/TRINITY_DN6069_c0_g1_i1/TRINITY_DN6121_c0_g1_i1/TRINITY_DN6345_c0_g1_i1/TRINITY_DN6619_c0_g1_i1/TRINITY_DN6714_c0_g1_i1/TRINITY_DN679_c0_g1_i1/TRINITY_DN70_c0_g1_i1/TRINITY_DN7128_c0_g1_i1/TRINITY_DN7169_c0_g1_i1/TRINITY_DN7285_c0_g1_i1/TRINITY_DN7380_c0_g1_i1/TRINITY_DN74_c0_g1_i1/TRINITY_DN74_c0_g1_i4/TRINITY_DN759_c0_g1_i1/TRINITY_DN76_c0_g1_i1/TRINITY_DN7856_c0_g1_i1/TRINITY_DN7969_c0_g1_i1/TRINITY_DN8173_c0_g1_i1/TRINITY_DN86_c0_g1_i2/TRINITY_DN8810_c0_g1_i1/TRINITY_DN8870_c0_g1_i1	49
GO:0071944	GO:0071944|cell periphery [cellular_component]	87/573	481/8538	2.06639893535941e-18	1.46920964304054e-15	1.46920964304054e-15	TRINITY_DN1061_c0_g1_i1/TRINITY_DN108_c0_g1_i2/TRINITY_DN108_c0_g1_i5/TRINITY_DN1087_c0_g1_i1/TRINITY_DN113_c0_g1_i1/TRINITY_DN1267_c0_g1_i1/TRINITY_DN1295_c0_g1_i1/TRINITY_DN1332_c0_g1_i1/TRINITY_DN1477_c0_g1_i1/TRINITY_DN152_c0_g1_i1/TRINITY_DN1652_c0_g1_i1/TRINITY_DN1742_c0_g1_i1/TRINITY_DN1813_c0_g1_i1/TRINITY_DN1841_c0_g1_i1/TRINITY_DN1908_c0_g1_i1/TRINITY_DN194_c0_g1_i2/TRINITY_DN198_c1_g1_i1/TRINITY_DN2040_c0_g1_i1/TRINITY_DN2049_c0_g1_i1/TRINITY_DN2208_c0_g1_i1/TRINITY_DN2276_c0_g1_i1/TRINITY_DN26_c0_g1_i1/TRINITY_DN26_c1_g1_i10/TRINITY_DN26_c1_g1_i13/TRINITY_DN26_c1_g1_i15/TRINITY_DN26_c1_g1_i2/TRINITY_DN26_c1_g1_i4/TRINITY_DN26_c1_g1_i6/TRINITY_DN26_c1_g2_i1/TRINITY_DN2614_c0_g1_i1/TRINITY_DN2691_c0_g1_i1/TRINITY_DN2863_c0_g1_i1/TRINITY_DN3094_c0_g1_i1/TRINITY_DN3236_c0_g1_i1/TRINITY_DN3366_c0_g1_i1/TRINITY_DN3566_c0_g1_i1/TRINITY_DN3567_c0_g1_i1/TRINITY_DN3655_c0_g1_i1/TRINITY_DN3782_c0_g1_i1/TRINITY_DN3847_c0_g1_i1/TRINITY_DN3943_c0_g1_i1/TRINITY_DN4175_c0_g1_i1/TRINITY_DN4185_c0_g1_i1/TRINITY_DN4360_c0_g1_i1/TRINITY_DN4564_c0_g1_i1/TRINITY_DN4828_c0_g1_i1/TRINITY_DN4940_c0_g1_i1/TRINITY_DN5176_c0_g1_i1/TRINITY_DN5190_c0_g1_i1/TRINITY_DN5343_c0_g1_i1/TRINITY_DN536_c0_g1_i1/TRINITY_DN54_c0_g1_i1/TRINITY_DN54_c0_g1_i2/TRINITY_DN5475_c0_g1_i1/TRINITY_DN58_c0_g1_i2/TRINITY_DN5839_c0_g1_i1/TRINITY_DN5845_c0_g1_i1/TRINITY_DN5856_c0_g1_i1/TRINITY_DN606_c0_g1_i1/TRINITY_DN6069_c0_g1_i1/TRINITY_DN6591_c0_g1_i1/TRINITY_DN6613_c0_g1_i1/TRINITY_DN6619_c0_g1_i1/TRINITY_DN663_c0_g1_i1/TRINITY_DN6714_c0_g1_i1/TRINITY_DN711_c0_g1_i1/TRINITY_DN7128_c0_g1_i1/TRINITY_DN7272_c0_g1_i1/TRINITY_DN7285_c0_g1_i1/TRINITY_DN7361_c0_g1_i1/TRINITY_DN74_c0_g1_i1/TRINITY_DN74_c0_g1_i4/TRINITY_DN7703_c0_g1_i1/TRINITY_DN7748_c0_g1_i1/TRINITY_DN7773_c0_g1_i1/TRINITY_DN7793_c0_g1_i1/TRINITY_DN7796_c0_g1_i1/TRINITY_DN8034_c0_g1_i1/TRINITY_DN8173_c0_g1_i1/TRINITY_DN8202_c0_g1_i1/TRINITY_DN8293_c0_g1_i1/TRINITY_DN86_c0_g1_i2/TRINITY_DN8810_c0_g1_i1/TRINITY_DN8841_c0_g1_i1/TRINITY_DN8870_c0_g1_i1/TRINITY_DN9027_c0_g1_i1/TRINITY_DN9334_c0_g1_i1	87
GO:0005576	GO:0005576|extracellular region [cellular_component]	46/573	177/8538	3.72102994257493e-16	1.76376819278052e-13	1.76376819278052e-13	TRINITY_DN108_c0_g1_i2/TRINITY_DN108_c0_g1_i5/TRINITY_DN113_c0_g1_i1/TRINITY_DN1267_c0_g1_i1/TRINITY_DN152_c0_g1_i1/TRINITY_DN1546_c0_g1_i1/TRINITY_DN173_c0_g1_i1/TRINITY_DN1742_c0_g1_i1/TRINITY_DN1908_c0_g1_i1/TRINITY_DN194_c0_g1_i2/TRINITY_DN198_c1_g1_i1/TRINITY_DN2049_c0_g1_i1/TRINITY_DN2527_c0_g1_i1/TRINITY_DN2542_c0_g1_i1/TRINITY_DN3566_c0_g1_i1/TRINITY_DN3567_c0_g1_i1/TRINITY_DN4354_c0_g1_i1/TRINITY_DN4570_c0_g1_i1/TRINITY_DN4940_c0_g1_i1/TRINITY_DN5328_c0_g1_i1/TRINITY_DN54_c0_g1_i1/TRINITY_DN54_c0_g1_i2/TRINITY_DN5729_c0_g1_i1/TRINITY_DN5839_c0_g1_i1/TRINITY_DN5845_c0_g1_i1/TRINITY_DN606_c0_g1_i1/TRINITY_DN6069_c0_g1_i1/TRINITY_DN6121_c0_g1_i1/TRINITY_DN6613_c0_g1_i1/TRINITY_DN6619_c0_g1_i1/TRINITY_DN670_c0_g1_i1/TRINITY_DN6714_c0_g1_i1/TRINITY_DN679_c0_g1_i1/TRINITY_DN70_c0_g1_i1/TRINITY_DN7128_c0_g1_i1/TRINITY_DN7169_c0_g1_i1/TRINITY_DN7285_c0_g1_i1/TRINITY_DN74_c0_g1_i1/TRINITY_DN74_c0_g1_i4/TRINITY_DN759_c0_g1_i1/TRINITY_DN7856_c0_g1_i1/TRINITY_DN7969_c0_g1_i1/TRINITY_DN8173_c0_g1_i1/TRINITY_DN86_c0_g1_i2/TRINITY_DN8810_c0_g1_i1/TRINITY_DN8870_c0_g1_i1	46
GO:0042254	GO:0042254|ribosome biogenesis [biological_process]	58/573	300/8538	8.61137991579257e-14	3.06134556006426e-11	3.06134556006426e-11	TRINITY_DN1019_c0_g1_i1/TRINITY_DN1029_c0_g1_i1/TRINITY_DN1168_c0_g1_i1/TRINITY_DN1177_c0_g1_i1/TRINITY_DN1296_c0_g1_i1/TRINITY_DN1587_c0_g1_i1/TRINITY_DN1825_c0_g1_i1/TRINITY_DN1888_c1_g1_i1/TRINITY_DN1931_c0_g1_i1/TRINITY_DN2107_c0_g1_i1/TRINITY_DN2435_c0_g1_i1/TRINITY_DN2455_c0_g1_i1/TRINITY_DN2479_c0_g1_i1/TRINITY_DN2831_c0_g1_i1/TRINITY_DN2877_c0_g1_i1/TRINITY_DN2923_c0_g1_i1/TRINITY_DN3220_c0_g1_i1/TRINITY_DN3226_c0_g1_i1/TRINITY_DN3418_c0_g1_i1/TRINITY_DN3476_c0_g1_i1/TRINITY_DN3924_c0_g1_i1/TRINITY_DN3979_c0_g1_i1/TRINITY_DN4156_c0_g1_i1/TRINITY_DN4252_c0_g1_i1/TRINITY_DN4275_c0_g1_i1/TRINITY_DN4560_c0_g1_i1/TRINITY_DN4594_c0_g1_i1/TRINITY_DN4610_c0_g1_i1/TRINITY_DN4670_c0_g1_i1/TRINITY_DN4720_c0_g1_i1/TRINITY_DN4850_c0_g1_i1/TRINITY_DN4879_c0_g1_i1/TRINITY_DN5140_c0_g1_i1/TRINITY_DN5379_c0_g1_i1/TRINITY_DN5497_c0_g1_i1/TRINITY_DN5550_c0_g1_i1/TRINITY_DN5592_c0_g1_i1/TRINITY_DN5848_c0_g1_i1/TRINITY_DN6090_c0_g1_i1/TRINITY_DN6128_c0_g1_i1/TRINITY_DN6259_c0_g1_i1/TRINITY_DN6416_c0_g1_i1/TRINITY_DN6434_c0_g1_i1/TRINITY_DN6589_c0_g1_i1/TRINITY_DN6854_c0_g1_i1/TRINITY_DN7032_c0_g1_i1/TRINITY_DN7354_c0_g1_i1/TRINITY_DN7444_c0_g1_i1/TRINITY_DN7554_c0_g1_i1/TRINITY_DN760_c0_g1_i1/TRINITY_DN78_c0_g1_i3/TRINITY_DN7807_c0_g1_i1/TRINITY_DN7813_c0_g1_i1/TRINITY_DN7821_c0_g1_i1/TRINITY_DN7823_c0_g1_i1/TRINITY_DN8642_c0_g1_i1/TRINITY_DN9188_c0_g1_i1/TRINITY_DN9475_c0_g1_i1	58
GO:0098552	GO:0098552|side of membrane [cellular_component]	28/573	95/8538	9.71601657772511e-12	2.76323511470502e-09	2.76323511470502e-09	TRINITY_DN108_c0_g1_i2/TRINITY_DN108_c0_g1_i5/TRINITY_DN113_c0_g1_i1/TRINITY_DN152_c0_g1_i1/TRINITY_DN1742_c0_g1_i1/TRINITY_DN1908_c0_g1_i1/TRINITY_DN194_c0_g1_i2/TRINITY_DN2527_c0_g1_i1/TRINITY_DN3566_c0_g1_i1/TRINITY_DN3567_c0_g1_i1/TRINITY_DN4354_c0_g1_i1/TRINITY_DN4570_c0_g1_i1/TRINITY_DN4940_c0_g1_i1/TRINITY_DN5328_c0_g1_i1/TRINITY_DN5839_c0_g1_i1/TRINITY_DN6069_c0_g1_i1/TRINITY_DN6613_c0_g1_i1/TRINITY_DN6619_c0_g1_i1/TRINITY_DN6714_c0_g1_i1/TRINITY_DN679_c0_g1_i1/TRINITY_DN70_c0_g1_i1/TRINITY_DN7128_c0_g1_i1/TRINITY_DN7169_c0_g1_i1/TRINITY_DN759_c0_g1_i1/TRINITY_DN8173_c0_g1_i1/TRINITY_DN86_c0_g1_i2/TRINITY_DN8810_c0_g1_i1/TRINITY_DN8870_c0_g1_i1	28
GO:0006364	GO:0006364|rRNA processing [biological_process]	54/573	322/8538	2.06813013094176e-10	4.90146841033197e-08	4.90146841033197e-08	TRINITY_DN1019_c0_g1_i1/TRINITY_DN1029_c0_g1_i1/TRINITY_DN1177_c0_g1_i1/TRINITY_DN1296_c0_g1_i1/TRINITY_DN1587_c0_g1_i1/TRINITY_DN178_c0_g1_i1/TRINITY_DN1825_c0_g1_i1/TRINITY_DN1888_c1_g1_i1/TRINITY_DN2107_c0_g1_i1/TRINITY_DN2435_c0_g1_i1/TRINITY_DN2479_c0_g1_i1/TRINITY_DN2666_c0_g1_i1/TRINITY_DN2877_c0_g1_i1/TRINITY_DN3220_c0_g1_i1/TRINITY_DN3226_c0_g1_i1/TRINITY_DN3418_c0_g1_i1/TRINITY_DN3476_c0_g1_i1/TRINITY_DN3530_c0_g1_i1/TRINITY_DN3828_c0_g1_i1/TRINITY_DN3905_c0_g1_i1/TRINITY_DN3924_c0_g1_i1/TRINITY_DN4156_c0_g1_i1/TRINITY_DN4252_c0_g1_i1/TRINITY_DN4275_c0_g1_i1/TRINITY_DN4386_c0_g1_i1/TRINITY_DN4560_c0_g1_i1/TRINITY_DN4594_c0_g1_i1/TRINITY_DN4610_c0_g1_i1/TRINITY_DN4670_c0_g1_i1/TRINITY_DN4720_c0_g1_i1/TRINITY_DN4879_c0_g1_i1/TRINITY_DN5140_c0_g1_i1/TRINITY_DN5497_c0_g1_i1/TRINITY_DN5848_c0_g1_i1/TRINITY_DN6128_c0_g1_i1/TRINITY_DN6259_c0_g1_i1/TRINITY_DN6416_c0_g1_i1/TRINITY_DN6562_c0_g1_i1/TRINITY_DN6589_c0_g1_i1/TRINITY_DN6854_c0_g1_i1/TRINITY_DN6925_c0_g1_i1/TRINITY_DN7032_c0_g1_i1/TRINITY_DN7354_c0_g1_i1/TRINITY_DN7422_c0_g1_i1/TRINITY_DN7554_c0_g1_i1/TRINITY_DN760_c0_g1_i1/TRINITY_DN7807_c0_g1_i1/TRINITY_DN7813_c0_g1_i1/TRINITY_DN7821_c0_g1_i1/TRINITY_DN7823_c0_g1_i1/TRINITY_DN7851_c0_g1_i1/TRINITY_DN9188_c0_g1_i1/TRINITY_DN9251_c0_g1_i1/TRINITY_DN9475_c0_g1_i1	54
GO:0055085	GO:0055085|transmembrane transport [biological_process]	61/573	402/8538	8.5502352372028e-10	1.73691921532891e-07	1.73691921532891e-07	TRINITY_DN1061_c0_g1_i1/TRINITY_DN1087_c0_g1_i1/TRINITY_DN1214_c0_g1_i1/TRINITY_DN1477_c0_g1_i1/TRINITY_DN1615_c0_g1_i1/TRINITY_DN1813_c0_g1_i1/TRINITY_DN1841_c0_g1_i1/TRINITY_DN1885_c0_g1_i1/TRINITY_DN2040_c0_g1_i1/TRINITY_DN2177_c0_g1_i1/TRINITY_DN2208_c0_g1_i1/TRINITY_DN2494_c0_g1_i1/TRINITY_DN26_c0_g1_i1/TRINITY_DN26_c1_g1_i10/TRINITY_DN26_c1_g1_i13/TRINITY_DN26_c1_g1_i15/TRINITY_DN26_c1_g1_i2/TRINITY_DN26_c1_g1_i4/TRINITY_DN26_c1_g1_i6/TRINITY_DN26_c1_g2_i1/TRINITY_DN2614_c0_g1_i1/TRINITY_DN2698_c0_g1_i1/TRINITY_DN2950_c0_g1_i1/TRINITY_DN3195_c0_g1_i1/TRINITY_DN3501_c0_g1_i1/TRINITY_DN3943_c0_g1_i1/TRINITY_DN4185_c0_g1_i1/TRINITY_DN4259_c0_g1_i1/TRINITY_DN4360_c0_g1_i1/TRINITY_DN4564_c0_g1_i1/TRINITY_DN460_c0_g1_i1/TRINITY_DN4886_c0_g1_i1/TRINITY_DN4952_c0_g1_i1/TRINITY_DN5050_c0_g1_i1/TRINITY_DN5135_c0_g1_i1/TRINITY_DN5176_c0_g1_i1/TRINITY_DN5190_c0_g1_i1/TRINITY_DN524_c0_g1_i1/TRINITY_DN5343_c0_g1_i1/TRINITY_DN536_c0_g1_i1/TRINITY_DN5414_c0_g1_i1/TRINITY_DN5475_c0_g1_i1/TRINITY_DN5661_c0_g1_i1/TRINITY_DN58_c0_g1_i2/TRINITY_DN5856_c0_g1_i1/TRINITY_DN6238_c0_g1_i1/TRINITY_DN663_c0_g1_i1/TRINITY_DN7090_c0_g1_i1/TRINITY_DN711_c0_g1_i1/TRINITY_DN7678_c0_g1_i1/TRINITY_DN7703_c0_g1_i1/TRINITY_DN7748_c0_g1_i1/TRINITY_DN7773_c0_g1_i1/TRINITY_DN7793_c0_g1_i1/TRINITY_DN8034_c0_g1_i1/TRINITY_DN8202_c0_g1_i1/TRINITY_DN8293_c0_g1_i1/TRINITY_DN8974_c0_g1_i1/TRINITY_DN9027_c0_g1_i1/TRINITY_DN925_c0_g1_i1/TRINITY_DN9334_c0_g1_i1	61
GO:0005353	GO:0005353|fructose transmembrane transporter activity [molecular_function]	14/573	32/8538	4.90687187868221e-09	7.7528575683179e-07	7.7528575683179e-07	TRINITY_DN26_c0_g1_i1/TRINITY_DN26_c1_g1_i10/TRINITY_DN26_c1_g1_i13/TRINITY_DN26_c1_g1_i15/TRINITY_DN26_c1_g1_i2/TRINITY_DN26_c1_g1_i4/TRINITY_DN26_c1_g1_i6/TRINITY_DN26_c1_g2_i1/TRINITY_DN4185_c0_g1_i1/TRINITY_DN4360_c0_g1_i1/TRINITY_DN58_c0_g1_i2/TRINITY_DN5856_c0_g1_i1/TRINITY_DN663_c0_g1_i1/TRINITY_DN7793_c0_g1_i1	14
GO:0015578	GO:0015578|mannose transmembrane transporter activity [molecular_function]	14/573	32/8538	4.90687187868221e-09	7.7528575683179e-07	7.7528575683179e-07	TRINITY_DN26_c0_g1_i1/TRINITY_DN26_c1_g1_i10/TRINITY_DN26_c1_g1_i13/TRINITY_DN26_c1_g1_i15/TRINITY_DN26_c1_g1_i2/TRINITY_DN26_c1_g1_i4/TRINITY_DN26_c1_g1_i6/TRINITY_DN26_c1_g2_i1/TRINITY_DN4185_c0_g1_i1/TRINITY_DN4360_c0_g1_i1/TRINITY_DN58_c0_g1_i2/TRINITY_DN5856_c0_g1_i1/TRINITY_DN663_c0_g1_i1/TRINITY_DN7793_c0_g1_i1	14
GO:0035973	GO:0035973|aggrephagy [biological_process]	7/573	7/8538	5.92489531011787e-09	8.42520113098761e-07	8.42520113098761e-07	TRINITY_DN1558_c0_g1_i1/TRINITY_DN4277_c0_g1_i1/TRINITY_DN4647_c0_g1_i1/TRINITY_DN4945_c0_g1_i1/TRINITY_DN7658_c0_g1_i1/TRINITY_DN8940_c0_g1_i1/TRINITY_DN9102_c0_g1_i1	7
