metric	value
project_name	Yeast SNF2 RNA-seq de novo 24-sample standard
flow	rnaseq-report-flow
version	0.2.0-r2
started_at	2026-05-30T09:14:34Z
finished_at	2026-05-30T09:14:35Z
analysis_mode	denovo
standard_out	/home/kyhan/test/rna-seq/yeast-denovo-standard-24sample-out
denovo_present	yes
denovo_assembly_out	/home/kyhan/test/rna-seq/yeast-denovo-standard-24sample-out/03_results/denovo_assembly
denovo_expression_out	/home/kyhan/test/rna-seq/yeast-denovo-standard-24sample-out/03_results/denovo_expression
denovo_annotation_out	/home/kyhan/test/rna-seq/yeast-denovo-standard-24sample-out/03_results/denovo_annotation
provided_modules	6
collected_files	108
collected_tables	54
collected_plots	28
collected_html_reports	26
plot_groups	14
html_report_links	26
