tool	version	source	url
rnaseq-report-flow	0.2.0-r2	taffish flow	https://github.com/taffish/rnaseq-report-flow
rnaseq-standard-flow	0.2.0-r2	standard:taffish flow	https://github.com/taffish/rnaseq-standard-flow
taf-rnaseq-index-flow	0.1.0-r1	standard:taffish dependency	https://github.com/taffish/rnaseq-index-flow
taf-rnaseq-expression-flow	0.1.0-r1	standard:taffish dependency	https://github.com/taffish/rnaseq-expression-flow
taf-rnaseq-alignment-flow	0.1.0-r1	standard:taffish dependency	https://github.com/taffish/rnaseq-alignment-flow
taf-rnaseq-alignment-qc-flow	0.1.0-r1	standard:taffish dependency	https://github.com/taffish/rnaseq-alignment-qc-flow
taf-rnaseq-count-flow	0.1.0-r1	standard:taffish dependency	https://github.com/taffish/rnaseq-count-flow
taf-rnaseq-de-flow	0.1.0-r2	standard:taffish dependency	https://github.com/taffish/rnaseq-de-flow
taf-rnaseq-enrichment-flow	0.1.0-r3	standard:taffish dependency	https://github.com/taffish/rnaseq-enrichment-flow
taf-rnaseq-report-flow	0.2.0-r2	standard:taffish dependency	https://github.com/taffish/rnaseq-report-flow
taf-rnaseq-denovo-assembly-flow	0.1.0-r1	standard:taffish dependency	https://github.com/taffish/rnaseq-denovo-assembly-flow
taf-rnaseq-denovo-expression-flow	0.1.0-r1	standard:taffish dependency	https://github.com/taffish/rnaseq-denovo-expression-flow
taf-rnaseq-denovo-annotation-flow	0.1.0-r1	standard:taffish dependency	https://github.com/taffish/rnaseq-denovo-annotation-flow
rnaseq-de-flow	0.1.0-r2	de:taffish flow	https://github.com/taffish/rnaseq-de-flow
taf-bioconductor-rnaseq	3.23-r1	de:taffish dependency	https://bioconductor.org/packages/DESeq2/
rnaseq-enrichment-flow	0.1.0-r3	enrichment:taffish flow	https://github.com/taffish/rnaseq-enrichment-flow
taf-enrichment-r	0.1.0-r1	enrichment:taffish dependency	https://github.com/taffish/enrichment-r
rnaseq-denovo-assembly-flow	0.1.0-r1	denovo_assembly:taffish flow	https://github.com/taffish/rnaseq-denovo-assembly-flow
taf-trinity	2.15.2-r2	denovo_assembly:taffish dependency	https://github.com/trinityrnaseq/trinityrnaseq
taf-spades	4.2.0-r1	denovo_assembly:taffish dependency	https://github.com/ablab/spades
taf-fastqc	0.12.1-r1	denovo_assembly:taffish dependency	https://www.bioinformatics.babraham.ac.uk/projects/fastqc/
taf-fastp	1.3.3-r3	denovo_assembly:taffish dependency	https://github.com/OpenGene/fastp
taf-seqkit	2.13.0-r2	denovo_assembly:taffish dependency	https://github.com/shenwei356/seqkit
taf-busco	6.0.0-r2	denovo_assembly:taffish dependency	https://gitlab.com/ezlab/busco
taf-multiqc	1.35-r2	denovo_assembly:taffish dependency	https://github.com/MultiQC/MultiQC
rnaseq-denovo-expression-flow	0.1.0-r1	denovo_expression:taffish flow	https://github.com/taffish/rnaseq-denovo-expression-flow
taf-salmon	1.11.4-r1	denovo_expression:taffish dependency	https://github.com/COMBINE-lab/salmon
rnaseq-denovo-annotation-flow	0.1.0-r1	denovo_annotation:taffish flow	https://github.com/taffish/rnaseq-denovo-annotation-flow
taf-diamond	2.2.1-r1	denovo_annotation:taffish dependency	https://github.com/bbuchfink/diamond
taf-transdecoder	6.0.0-r1	denovo_annotation:taffish dependency	https://github.com/TransDecoder/TransDecoder
