#Transcript position	Transcript coverage profile
0.0	29.82385858639415
1.0	37.11346435185464
2.0	45.03324025459017
3.0	53.94564565499257
4.0	66.54612777173422
5.0	77.56464949886946
6.0	89.68821909212399
7.0	103.3676643432678
8.0	117.40462299891998
9.0	127.17454086315182
10.0	130.99909480963194
11.0	135.6993781382502
12.0	140.28929161156123
13.0	149.00419270008268
14.0	151.96020140767797
15.0	155.57258834068958
16.0	162.52438451161686
17.0	166.52976864995244
18.0	168.85430135817037
19.0	175.14694964612778
20.0	176.90816015187002
21.0	173.8466403429614
22.0	178.46237551767848
23.0	186.18685838397388
24.0	189.8410387543513
25.0	188.0885251698659
26.0	182.97661115761846
27.0	179.4060351987381
28.0	179.40850214161367
29.0	183.38080466554442
30.0	191.23806225388472
31.0	200.69059190856396
32.0	208.7163924917331
33.0	213.14728197944825
34.0	214.69543621600025
35.0	211.8207459523111
36.0	212.4173573494384
37.0	215.07528246483312
38.0	224.10809613514152
39.0	231.52818115074325
40.0	237.08102045439136
41.0	236.63769855869035
42.0	232.78874177926215
43.0	231.46422625983485
44.0	230.4368681512349
45.0	225.7656773721761
46.0	219.25327714808392
47.0	215.3219948250603
48.0	217.13158775058213
49.0	217.4602603588877
50.0	218.7387207451896
51.0	218.81458226423413
52.0	221.3444796788608
53.0	222.58151641020905
54.0	222.0788490635703
55.0	226.78520762291154
56.0	232.3891308693868
57.0	234.69575916239523
58.0	232.05056472545135
59.0	230.9126833807482
60.0	228.9084041437872
61.0	230.76538636010818
62.0	228.2606520820201
63.0	222.09124104931442
64.0	215.73345734241005
65.0	212.46458281343627
66.0	208.53903532173217
67.0	202.56021775219855
68.0	199.27884233841604
69.0	197.9642364814327
70.0	199.37125271467764
71.0	199.7072830170192
72.0	198.9126173326336
73.0	199.75456764884126
74.0	199.27581064547502
75.0	195.66919949730226
76.0	192.86696098566563
77.0	188.74989681675686
78.0	182.89589015171308
79.0	174.88320175665592
80.0	165.06551997044178
81.0	157.36242042663991
82.0	155.77932435924512
83.0	147.95211485569962
84.0	140.1101630203434
85.0	132.50724190609725
86.0	127.59751997398118
87.0	119.11559861783785
88.0	108.63574071872344
89.0	100.00730863513618
90.0	86.70988961669055
91.0	71.4535954766137
92.0	56.65609616889846
93.0	45.402311478822575
94.0	36.52023787880545
95.0	27.543295426217856
96.0	18.26967843339652
97.0	9.790092582738994
98.0	4.849731084854652
99.0	1.1372622712131735
