#Transcript position	Transcript coverage profile
0.0	68.18180706677633
1.0	103.03649804965042
2.0	136.9590607188667
3.0	164.3124986741589
4.0	188.5934600675936
5.0	211.26536372477085
6.0	236.3051741946625
7.0	258.4260138152972
8.0	278.09711615261733
9.0	290.1915343293313
10.0	298.34868527914205
11.0	311.707208072249
12.0	324.18908292103333
13.0	336.0904155476157
14.0	343.5645085038404
15.0	351.08025777242426
16.0	359.86983702745715
17.0	365.08922536782865
18.0	368.95384137223294
19.0	377.04776225657105
20.0	379.64221507902954
21.0	378.96329574959316
22.0	383.4560869310617
23.0	390.5970095718442
24.0	393.1528960568898
25.0	391.2029101076002
26.0	386.86069581458344
27.0	383.42701507861835
28.0	384.22698858469033
29.0	391.4336570739851
30.0	400.2320496394411
31.0	409.01785379720405
32.0	415.9920231094928
33.0	420.38646968286184
34.0	423.31833576337
35.0	422.2001734970425
36.0	423.61420494840934
37.0	426.2614822752628
38.0	433.5830829116933
39.0	441.3990300660814
40.0	449.4748795029164
41.0	448.1556768611453
42.0	443.9554063251597
43.0	442.19207733541936
44.0	441.6215457827112
45.0	435.977028322112
46.0	426.0105872117987
47.0	420.59242711352215
48.0	420.56264717131535
49.0	420.50326937678426
50.0	421.195035959597
51.0	422.0767972209554
52.0	425.5673187560649
53.0	426.5350518947743
54.0	427.14734027585195
55.0	433.4808075395388
56.0	440.76224496702054
57.0	443.41941500376794
58.0	442.86435513107733
59.0	441.32449402774097
60.0	438.7927088736482
61.0	442.5030961668973
62.0	441.9798658867535
63.0	434.93563797569686
64.0	426.2558381873617
65.0	422.72670430073356
66.0	417.71982083673754
67.0	411.27561610872715
68.0	408.5968507196887
69.0	404.7883809452512
70.0	403.2614390193995
71.0	403.4965526090069
72.0	403.8990226657774
73.0	404.79292555366976
74.0	401.19582628214135
75.0	396.5356190932778
76.0	394.502222196192
77.0	388.125984622144
78.0	380.3727078580341
79.0	369.3491276760643
80.0	354.7086563609724
81.0	343.52710212597543
82.0	338.76391986649617
83.0	327.78845166846736
84.0	316.5635650041464
85.0	304.05477521745206
86.0	293.208876494848
87.0	279.53168336576056
88.0	260.70925656868906
89.0	245.34482118515996
90.0	223.55755819975755
91.0	195.21195300491172
92.0	167.57216794144915
93.0	143.1951198308999
94.0	115.64242930224955
95.0	89.87890268570975
96.0	62.908200372985355
97.0	37.88019118825436
98.0	17.236852779395996
99.0	3.5665545984301814
