#Transcript position	Transcript coverage profile
0.0	40.36705250182903
1.0	51.88284342079576
2.0	62.0948149904579
3.0	71.5305697784804
4.0	87.35279409670449
5.0	105.1596066964374
6.0	126.12750697429829
7.0	148.54824232268223
8.0	167.49547832613104
9.0	179.96347951601825
10.0	188.22464849632252
11.0	193.6771350627827
12.0	198.74082429346336
13.0	208.9252873269732
14.0	214.4826242768022
15.0	219.15336592221658
16.0	223.30128420061186
17.0	227.72505090886418
18.0	233.16852719580467
19.0	239.77569979105155
20.0	240.21805152518544
21.0	228.1825595289812
22.0	230.7127759559944
23.0	243.65305218037474
24.0	247.61864789432468
25.0	241.5241846279774
26.0	230.8384893256356
27.0	223.08217828214262
28.0	218.58578248766702
29.0	227.8368575067078
30.0	244.65392750721816
31.0	258.64087420534224
32.0	267.13410883954435
33.0	270.62251055046687
34.0	271.18620568151914
35.0	267.2765191171396
36.0	267.0852808106109
37.0	273.72033716104966
38.0	291.10612131392946
39.0	306.4580545582611
40.0	315.3975165501218
41.0	310.583014710212
42.0	303.06625708213693
43.0	295.550629567667
44.0	294.54295530975156
45.0	284.12896364962523
46.0	270.0122055132337
47.0	259.10750101713415
48.0	261.87337560246203
49.0	261.6979287005638
50.0	264.68812630934036
51.0	264.1174680098064
52.0	264.66572277032776
53.0	265.4797774702507
54.0	264.4465861808971
55.0	273.678160933516
56.0	282.6218706810885
57.0	285.2301044363077
58.0	282.24090609273514
59.0	279.74667238652785
60.0	278.57167693740416
61.0	281.6507845659714
62.0	277.649098260019
63.0	268.26122888514556
64.0	257.25630912235414
65.0	251.0816250797138
66.0	247.90474215019586
67.0	243.0628146730269
68.0	238.38126357349842
69.0	239.23326675262135
70.0	243.76959338442046
71.0	247.75998358513155
72.0	248.09433000802957
73.0	247.66691063141738
74.0	241.89325064405986
75.0	237.94440921231214
76.0	234.36682303542912
77.0	229.68892188033757
78.0	219.4064737275385
79.0	213.3317599984261
80.0	205.71250918229345
81.0	196.4173516681445
82.0	192.65290489409452
83.0	185.72979401470892
84.0	175.4656196191813
85.0	167.13026890047314
86.0	160.34212545431274
87.0	151.18888157135896
88.0	139.09125415567397
89.0	131.153678180867
90.0	115.62602363623448
91.0	95.76888438159668
92.0	77.81848717030218
93.0	63.83804973842684
94.0	49.85424845835608
95.0	36.02715972365453
96.0	23.614226553125746
97.0	12.431773370832268
98.0	6.122956475589743
99.0	1.5228322774466376
