#Transcript position	Transcript coverage profile
0.0	56.26205905592739
1.0	84.93412107166127
2.0	110.52603910846582
3.0	133.21892204629526
4.0	156.32606508942027
5.0	177.56892237306892
6.0	201.85369106306922
7.0	226.09101787504153
8.0	249.186697828267
9.0	266.61955684058114
10.0	277.9683482286258
11.0	288.7158958951066
12.0	299.6472477411566
13.0	312.50907201334854
14.0	319.7141894578616
15.0	323.741625373876
16.0	331.36669336840373
17.0	340.31576957364683
18.0	348.0809863190611
19.0	358.8869894153032
20.0	364.67130922539957
21.0	363.21255603547644
22.0	367.6539877943584
23.0	378.5173197849981
24.0	385.4793113745395
25.0	382.4183695760397
26.0	373.3896970278882
27.0	364.965827717361
28.0	363.06430735159734
29.0	371.59503956978085
30.0	384.9458664041667
31.0	398.44710070664655
32.0	406.2423018832215
33.0	411.21331025925105
34.0	410.25253218079945
35.0	409.16922588853714
36.0	409.74476124551234
37.0	415.35701199697183
38.0	426.83823673410626
39.0	436.19273093569007
40.0	444.930964910779
41.0	442.6158442586403
42.0	437.5229769694865
43.0	435.5721202264965
44.0	436.5740225493124
45.0	428.998135799186
46.0	419.59269924413763
47.0	414.2683683335412
48.0	417.4519243528773
49.0	418.01030178819144
50.0	419.1515528913751
51.0	419.49647262852625
52.0	420.393471719523
53.0	420.61838800473424
54.0	420.57548802506756
55.0	428.7595035361359
56.0	435.1085656051356
57.0	436.40388298643245
58.0	434.8997897236406
59.0	436.34876471770144
60.0	435.99757495429503
61.0	440.21136062076584
62.0	438.9485742827368
63.0	430.791457437319
64.0	421.60900321679924
65.0	414.7522294090453
66.0	410.1950655915661
67.0	404.89239915183566
68.0	401.96464278250033
69.0	400.8846762309078
70.0	397.89639376741343
71.0	395.97196704178384
72.0	393.37339090256313
73.0	391.5040364922739
74.0	387.23264788298997
75.0	383.6333820063092
76.0	379.2367728375351
77.0	371.8076719133653
78.0	363.36805310324195
79.0	350.01013618786936
80.0	337.20673121464904
81.0	326.67106116159306
82.0	321.3286012992848
83.0	309.86366633595526
84.0	297.08486114843345
85.0	282.53827588258775
86.0	266.9375372388492
87.0	250.3738776121356
88.0	229.5637009538822
89.0	211.31559381624115
90.0	189.7762096874587
91.0	162.88992489056602
92.0	138.15305872366747
93.0	117.90721763998332
94.0	96.76564488395286
95.0	72.67737713877037
96.0	50.57683235634842
97.0	31.033337709406553
98.0	13.640028541429247
99.0	2.805593262959338
