sample_id	layout	trimmed	total_reads	mapped_reads	mapped_percent	bam	bai	hisat2_summary	flagstat
SNF2KO_01	single-end	false	557736	543925	97.52	/home/kyhan/test/rna-seq/yeast-standard-out/03_results/alignment/03_results/bam/SNF2KO_01.sorted.bam	/home/kyhan/test/rna-seq/yeast-standard-out/03_results/alignment/03_results/bam/SNF2KO_01.sorted.bam.bai	/home/kyhan/test/rna-seq/yeast-standard-out/03_results/alignment/03_results/aligner_logs/SNF2KO_01.hisat2.summary.txt	/home/kyhan/test/rna-seq/yeast-standard-out/03_results/alignment/03_results/aligner_logs/SNF2KO_01.flagstat.txt
SNF2KO_02	single-end	false	594305	577713	97.21	/home/kyhan/test/rna-seq/yeast-standard-out/03_results/alignment/03_results/bam/SNF2KO_02.sorted.bam	/home/kyhan/test/rna-seq/yeast-standard-out/03_results/alignment/03_results/bam/SNF2KO_02.sorted.bam.bai	/home/kyhan/test/rna-seq/yeast-standard-out/03_results/alignment/03_results/aligner_logs/SNF2KO_02.hisat2.summary.txt	/home/kyhan/test/rna-seq/yeast-standard-out/03_results/alignment/03_results/aligner_logs/SNF2KO_02.flagstat.txt
SNF2KO_03	single-end	false	555912	539633	97.07	/home/kyhan/test/rna-seq/yeast-standard-out/03_results/alignment/03_results/bam/SNF2KO_03.sorted.bam	/home/kyhan/test/rna-seq/yeast-standard-out/03_results/alignment/03_results/bam/SNF2KO_03.sorted.bam.bai	/home/kyhan/test/rna-seq/yeast-standard-out/03_results/alignment/03_results/aligner_logs/SNF2KO_03.hisat2.summary.txt	/home/kyhan/test/rna-seq/yeast-standard-out/03_results/alignment/03_results/aligner_logs/SNF2KO_03.flagstat.txt
SNF2KO_04	single-end	false	631071	622221	98.60	/home/kyhan/test/rna-seq/yeast-standard-out/03_results/alignment/03_results/bam/SNF2KO_04.sorted.bam	/home/kyhan/test/rna-seq/yeast-standard-out/03_results/alignment/03_results/bam/SNF2KO_04.sorted.bam.bai	/home/kyhan/test/rna-seq/yeast-standard-out/03_results/alignment/03_results/aligner_logs/SNF2KO_04.hisat2.summary.txt	/home/kyhan/test/rna-seq/yeast-standard-out/03_results/alignment/03_results/aligner_logs/SNF2KO_04.flagstat.txt
SNF2KO_05	single-end	false	565834	548678	96.97	/home/kyhan/test/rna-seq/yeast-standard-out/03_results/alignment/03_results/bam/SNF2KO_05.sorted.bam	/home/kyhan/test/rna-seq/yeast-standard-out/03_results/alignment/03_results/bam/SNF2KO_05.sorted.bam.bai	/home/kyhan/test/rna-seq/yeast-standard-out/03_results/alignment/03_results/aligner_logs/SNF2KO_05.hisat2.summary.txt	/home/kyhan/test/rna-seq/yeast-standard-out/03_results/alignment/03_results/aligner_logs/SNF2KO_05.flagstat.txt
SNF2KO_06	single-end	false	559710	542226	96.88	/home/kyhan/test/rna-seq/yeast-standard-out/03_results/alignment/03_results/bam/SNF2KO_06.sorted.bam	/home/kyhan/test/rna-seq/yeast-standard-out/03_results/alignment/03_results/bam/SNF2KO_06.sorted.bam.bai	/home/kyhan/test/rna-seq/yeast-standard-out/03_results/alignment/03_results/aligner_logs/SNF2KO_06.hisat2.summary.txt	/home/kyhan/test/rna-seq/yeast-standard-out/03_results/alignment/03_results/aligner_logs/SNF2KO_06.flagstat.txt
SNF2KO_07	single-end	false	560907	542794	96.77	/home/kyhan/test/rna-seq/yeast-standard-out/03_results/alignment/03_results/bam/SNF2KO_07.sorted.bam	/home/kyhan/test/rna-seq/yeast-standard-out/03_results/alignment/03_results/bam/SNF2KO_07.sorted.bam.bai	/home/kyhan/test/rna-seq/yeast-standard-out/03_results/alignment/03_results/aligner_logs/SNF2KO_07.hisat2.summary.txt	/home/kyhan/test/rna-seq/yeast-standard-out/03_results/alignment/03_results/aligner_logs/SNF2KO_07.flagstat.txt
SNF2KO_08	single-end	false	579640	560893	96.77	/home/kyhan/test/rna-seq/yeast-standard-out/03_results/alignment/03_results/bam/SNF2KO_08.sorted.bam	/home/kyhan/test/rna-seq/yeast-standard-out/03_results/alignment/03_results/bam/SNF2KO_08.sorted.bam.bai	/home/kyhan/test/rna-seq/yeast-standard-out/03_results/alignment/03_results/aligner_logs/SNF2KO_08.hisat2.summary.txt	/home/kyhan/test/rna-seq/yeast-standard-out/03_results/alignment/03_results/aligner_logs/SNF2KO_08.flagstat.txt
SNF2KO_09	single-end	false	560300	544149	97.12	/home/kyhan/test/rna-seq/yeast-standard-out/03_results/alignment/03_results/bam/SNF2KO_09.sorted.bam	/home/kyhan/test/rna-seq/yeast-standard-out/03_results/alignment/03_results/bam/SNF2KO_09.sorted.bam.bai	/home/kyhan/test/rna-seq/yeast-standard-out/03_results/alignment/03_results/aligner_logs/SNF2KO_09.hisat2.summary.txt	/home/kyhan/test/rna-seq/yeast-standard-out/03_results/alignment/03_results/aligner_logs/SNF2KO_09.flagstat.txt
SNF2KO_10	single-end	false	558666	542518	97.11	/home/kyhan/test/rna-seq/yeast-standard-out/03_results/alignment/03_results/bam/SNF2KO_10.sorted.bam	/home/kyhan/test/rna-seq/yeast-standard-out/03_results/alignment/03_results/bam/SNF2KO_10.sorted.bam.bai	/home/kyhan/test/rna-seq/yeast-standard-out/03_results/alignment/03_results/aligner_logs/SNF2KO_10.hisat2.summary.txt	/home/kyhan/test/rna-seq/yeast-standard-out/03_results/alignment/03_results/aligner_logs/SNF2KO_10.flagstat.txt
SNF2KO_11	single-end	false	559407	539744	96.49	/home/kyhan/test/rna-seq/yeast-standard-out/03_results/alignment/03_results/bam/SNF2KO_11.sorted.bam	/home/kyhan/test/rna-seq/yeast-standard-out/03_results/alignment/03_results/bam/SNF2KO_11.sorted.bam.bai	/home/kyhan/test/rna-seq/yeast-standard-out/03_results/alignment/03_results/aligner_logs/SNF2KO_11.hisat2.summary.txt	/home/kyhan/test/rna-seq/yeast-standard-out/03_results/alignment/03_results/aligner_logs/SNF2KO_11.flagstat.txt
SNF2KO_12	single-end	false	555021	539910	97.28	/home/kyhan/test/rna-seq/yeast-standard-out/03_results/alignment/03_results/bam/SNF2KO_12.sorted.bam	/home/kyhan/test/rna-seq/yeast-standard-out/03_results/alignment/03_results/bam/SNF2KO_12.sorted.bam.bai	/home/kyhan/test/rna-seq/yeast-standard-out/03_results/alignment/03_results/aligner_logs/SNF2KO_12.hisat2.summary.txt	/home/kyhan/test/rna-seq/yeast-standard-out/03_results/alignment/03_results/aligner_logs/SNF2KO_12.flagstat.txt
WT_01	single-end	false	579033	560940	96.88	/home/kyhan/test/rna-seq/yeast-standard-out/03_results/alignment/03_results/bam/WT_01.sorted.bam	/home/kyhan/test/rna-seq/yeast-standard-out/03_results/alignment/03_results/bam/WT_01.sorted.bam.bai	/home/kyhan/test/rna-seq/yeast-standard-out/03_results/alignment/03_results/aligner_logs/WT_01.hisat2.summary.txt	/home/kyhan/test/rna-seq/yeast-standard-out/03_results/alignment/03_results/aligner_logs/WT_01.flagstat.txt
WT_02	single-end	false	584388	569318	97.42	/home/kyhan/test/rna-seq/yeast-standard-out/03_results/alignment/03_results/bam/WT_02.sorted.bam	/home/kyhan/test/rna-seq/yeast-standard-out/03_results/alignment/03_results/bam/WT_02.sorted.bam.bai	/home/kyhan/test/rna-seq/yeast-standard-out/03_results/alignment/03_results/aligner_logs/WT_02.hisat2.summary.txt	/home/kyhan/test/rna-seq/yeast-standard-out/03_results/alignment/03_results/aligner_logs/WT_02.flagstat.txt
WT_03	single-end	false	580274	559977	96.50	/home/kyhan/test/rna-seq/yeast-standard-out/03_results/alignment/03_results/bam/WT_03.sorted.bam	/home/kyhan/test/rna-seq/yeast-standard-out/03_results/alignment/03_results/bam/WT_03.sorted.bam.bai	/home/kyhan/test/rna-seq/yeast-standard-out/03_results/alignment/03_results/aligner_logs/WT_03.hisat2.summary.txt	/home/kyhan/test/rna-seq/yeast-standard-out/03_results/alignment/03_results/aligner_logs/WT_03.flagstat.txt
WT_04	single-end	false	578606	564420	97.55	/home/kyhan/test/rna-seq/yeast-standard-out/03_results/alignment/03_results/bam/WT_04.sorted.bam	/home/kyhan/test/rna-seq/yeast-standard-out/03_results/alignment/03_results/bam/WT_04.sorted.bam.bai	/home/kyhan/test/rna-seq/yeast-standard-out/03_results/alignment/03_results/aligner_logs/WT_04.hisat2.summary.txt	/home/kyhan/test/rna-seq/yeast-standard-out/03_results/alignment/03_results/aligner_logs/WT_04.flagstat.txt
WT_05	single-end	false	582800	567308	97.34	/home/kyhan/test/rna-seq/yeast-standard-out/03_results/alignment/03_results/bam/WT_05.sorted.bam	/home/kyhan/test/rna-seq/yeast-standard-out/03_results/alignment/03_results/bam/WT_05.sorted.bam.bai	/home/kyhan/test/rna-seq/yeast-standard-out/03_results/alignment/03_results/aligner_logs/WT_05.hisat2.summary.txt	/home/kyhan/test/rna-seq/yeast-standard-out/03_results/alignment/03_results/aligner_logs/WT_05.flagstat.txt
WT_06	single-end	false	572362	559844	97.81	/home/kyhan/test/rna-seq/yeast-standard-out/03_results/alignment/03_results/bam/WT_06.sorted.bam	/home/kyhan/test/rna-seq/yeast-standard-out/03_results/alignment/03_results/bam/WT_06.sorted.bam.bai	/home/kyhan/test/rna-seq/yeast-standard-out/03_results/alignment/03_results/aligner_logs/WT_06.hisat2.summary.txt	/home/kyhan/test/rna-seq/yeast-standard-out/03_results/alignment/03_results/aligner_logs/WT_06.flagstat.txt
WT_07	single-end	false	577991	562987	97.40	/home/kyhan/test/rna-seq/yeast-standard-out/03_results/alignment/03_results/bam/WT_07.sorted.bam	/home/kyhan/test/rna-seq/yeast-standard-out/03_results/alignment/03_results/bam/WT_07.sorted.bam.bai	/home/kyhan/test/rna-seq/yeast-standard-out/03_results/alignment/03_results/aligner_logs/WT_07.hisat2.summary.txt	/home/kyhan/test/rna-seq/yeast-standard-out/03_results/alignment/03_results/aligner_logs/WT_07.flagstat.txt
WT_08	single-end	false	583896	568530	97.37	/home/kyhan/test/rna-seq/yeast-standard-out/03_results/alignment/03_results/bam/WT_08.sorted.bam	/home/kyhan/test/rna-seq/yeast-standard-out/03_results/alignment/03_results/bam/WT_08.sorted.bam.bai	/home/kyhan/test/rna-seq/yeast-standard-out/03_results/alignment/03_results/aligner_logs/WT_08.hisat2.summary.txt	/home/kyhan/test/rna-seq/yeast-standard-out/03_results/alignment/03_results/aligner_logs/WT_08.flagstat.txt
WT_09	single-end	false	580331	566570	97.63	/home/kyhan/test/rna-seq/yeast-standard-out/03_results/alignment/03_results/bam/WT_09.sorted.bam	/home/kyhan/test/rna-seq/yeast-standard-out/03_results/alignment/03_results/bam/WT_09.sorted.bam.bai	/home/kyhan/test/rna-seq/yeast-standard-out/03_results/alignment/03_results/aligner_logs/WT_09.hisat2.summary.txt	/home/kyhan/test/rna-seq/yeast-standard-out/03_results/alignment/03_results/aligner_logs/WT_09.flagstat.txt
WT_10	single-end	false	611990	594583	97.16	/home/kyhan/test/rna-seq/yeast-standard-out/03_results/alignment/03_results/bam/WT_10.sorted.bam	/home/kyhan/test/rna-seq/yeast-standard-out/03_results/alignment/03_results/bam/WT_10.sorted.bam.bai	/home/kyhan/test/rna-seq/yeast-standard-out/03_results/alignment/03_results/aligner_logs/WT_10.hisat2.summary.txt	/home/kyhan/test/rna-seq/yeast-standard-out/03_results/alignment/03_results/aligner_logs/WT_10.flagstat.txt
WT_11	single-end	false	598925	583794	97.47	/home/kyhan/test/rna-seq/yeast-standard-out/03_results/alignment/03_results/bam/WT_11.sorted.bam	/home/kyhan/test/rna-seq/yeast-standard-out/03_results/alignment/03_results/bam/WT_11.sorted.bam.bai	/home/kyhan/test/rna-seq/yeast-standard-out/03_results/alignment/03_results/aligner_logs/WT_11.hisat2.summary.txt	/home/kyhan/test/rna-seq/yeast-standard-out/03_results/alignment/03_results/aligner_logs/WT_11.flagstat.txt
WT_12	single-end	false	581258	563906	97.01	/home/kyhan/test/rna-seq/yeast-standard-out/03_results/alignment/03_results/bam/WT_12.sorted.bam	/home/kyhan/test/rna-seq/yeast-standard-out/03_results/alignment/03_results/bam/WT_12.sorted.bam.bai	/home/kyhan/test/rna-seq/yeast-standard-out/03_results/alignment/03_results/aligner_logs/WT_12.hisat2.summary.txt	/home/kyhan/test/rna-seq/yeast-standard-out/03_results/alignment/03_results/aligner_logs/WT_12.flagstat.txt
