sample_id	total_records	unique_mapq_ge_cut	mapped_reads	mapped_pct	assigned_tags	qualimap_reads_aligned	condition	strandedness
SNF2KO_01	557736	mapq_cut	543925	97.52	480941	486,189	.	.
SNF2KO_02	594305	mapq_cut	577713	97.21	478603	483,408	.	.
SNF2KO_03	555912	mapq_cut	539633	97.07	481320	483,721	.	.
SNF2KO_04	631071	mapq_cut	622221	98.60	484534	491,150	.	.
SNF2KO_05	565834	mapq_cut	548678	96.97	477656	482,844	.	.
SNF2KO_06	559710	mapq_cut	542226	96.88	478457	482,516	.	.
SNF2KO_07	560907	mapq_cut	542794	96.77	476395	481,887	.	.
SNF2KO_08	579640	mapq_cut	560893	96.77	476779	481,253	.	.
SNF2KO_09	560300	mapq_cut	544149	97.12	480833	483,849	.	.
SNF2KO_10	558666	mapq_cut	542518	97.11	482567	483,852	.	.
SNF2KO_11	559407	mapq_cut	539744	96.49	475868	480,337	.	.
SNF2KO_12	555021	mapq_cut	539910	97.28	479745	484,889	.	.
WT_01	579033	mapq_cut	560940	96.88	478168	481,907	.	.
WT_02	584388	mapq_cut	569318	97.42	481262	484,930	.	.
WT_03	580274	mapq_cut	559977	96.50	477681	479,703	.	.
WT_04	578606	mapq_cut	564420	97.55	480605	485,814	.	.
WT_05	582800	mapq_cut	567308	97.34	478605	484,508	.	.
WT_06	572362	mapq_cut	559844	97.81	483171	487,482	.	.
WT_07	577991	mapq_cut	562987	97.40	480822	484,996	.	.
WT_08	583896	mapq_cut	568530	97.37	481645	484,634	.	.
WT_09	580331	mapq_cut	566570	97.63	485518	486,239	.	.
WT_10	611990	mapq_cut	594583	97.16	476956	482,593	.	.
WT_11	598925	mapq_cut	583794	97.47	481567	484,869	.	.
WT_12	581258	mapq_cut	563906	97.01	478729	482,648	.	.
