gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
YDR033W	220.478472881349	-3.74401858490252	0.109326687146746	-34.2461541881081	4.97593894800414e-257	2.33072980324514e-253
YOR153W	342.486801254677	-2.67547888389941	0.0821007549688647	-32.5877500750637	6.1161446395711e-233	1.43240107458755e-229
YGR234W	126.169024977471	-4.17253335606504	0.13267281580095	-31.4497987464525	4.224294054742e-217	6.5955311174705e-214
YER081W	185.680594963792	3.10209352461739	0.107559382835696	28.8407523624045	6.61800665515936e-183	7.74968579319162e-180
YDR077W	1365.00572261276	-3.50913775807926	0.12463107950754	-28.1562012617162	2.01205183615268e-174	1.88489016010783e-171
YPL019C	99.8700010704301	-2.49044512210655	0.102160121652481	-24.3778597932598	2.9372705246674e-131	2.29302918959035e-128
YPR149W	167.048723108153	-2.18456277980577	0.0900456219685986	-24.2606218053287	5.10815947298568e-130	3.41808842449499e-127
YHR092C	388.727866109653	-2.48439830097918	0.113634737466864	-21.8630179147782	5.84492958426724e-106	3.42220627158847e-103
YBR067C	201.710682554069	-2.80447431617353	0.132073785645454	-21.2341480367801	4.61993300822465e-100	2.40441846783603e-97
YFR015C	287.582600942087	-3.05786627926259	0.146917022485234	-20.8135601139748	3.2619832048212e-96	1.52791293313825e-93
YOR273C	101.313714622731	-2.0368243098881	0.0982662048257013	-20.7276175313873	1.95218070071204e-95	8.31274036557743e-93
YER011W	66.184196692429	-3.8507157674893	0.190608762517936	-20.2021969851829	9.36373134452162e-91	3.65497646814494e-88
YOL109W	135.325809907264	-2.47913323457016	0.12563663314569	-19.7325666288377	1.13270822598509e-86	4.08123486962629e-84
YKL109W	86.2203472809331	-1.86106306448909	0.0951397716592297	-19.5613572750103	3.30170750514556e-85	1.10465699672156e-82
YIL121W	44.6317357715792	-2.66720609054525	0.138426185437282	-19.2680747657653	9.95717671535702e-83	3.10929438231549e-80
YDR406W	72.3032991437215	-2.02826375754901	0.105843584640354	-19.1628407563939	7.56305651881236e-82	2.21408479588232e-79
YEL071W	183.672429614377	1.13087885464729	0.0627391054903343	18.0251032559193	1.23780758704718e-72	3.41052396336998e-70
YDL039C	74.0567549219052	-3.19384294014178	0.177461972132082	-17.9973371295832	2.04413720548326e-72	5.31929926137978e-70
YCL064C	150.504669882145	-1.39054205442371	0.0772805566473431	-17.9934269983227	2.19362640178168e-72	5.40786635049757e-70
YJL012C	116.451506163439	-1.38368856838874	0.0790433666490605	-17.5054356494213	1.30226859501694e-68	3.04991304952966e-66
YIL169C	74.6890244871053	-3.43742171082201	0.196888242113346	-17.4587454990996	2.95353512026253e-68	6.5877897634808e-66
YFR055W	63.8480410791257	-2.02095952770562	0.11667423491815	-17.3213865865362	3.24444924573623e-67	6.90772739410385e-65
YLR300W	254.942569615593	-1.28687377131505	0.0752142789744405	-17.1094343901422	1.26219175192779e-65	2.57048094175207e-63
YDR399W	87.4596465417227	-1.94574340313661	0.113957924169979	-17.0742264507587	2.30865218879679e-65	4.50571952180173e-63
YHR143W	210.571181067668	-1.21402772864007	0.0717627302911754	-16.9172455355891	3.35770821298098e-64	6.29100210784116e-62
YBR092C	54.8443495105375	-2.71803126678221	0.162289131268643	-16.7480794649332	5.8484061731223e-63	1.05361286595788e-60
YDR342C	92.1185635293071	-3.13104206881846	0.188293842943836	-16.628488854797	4.33387376326206e-62	7.51846841004426e-60
YLR413W	120.216591949061	-2.18462152115799	0.131790809302844	-16.5764330055666	1.03173821758586e-61	1.72595064684721e-59
YHL047C	87.9091806344014	-1.73818732076039	0.105281106277024	-16.5099644392672	3.11066557644983e-61	5.02426122761758e-59
YKL182W	323.332469178367	-1.07164683471702	0.0650738277960915	-16.4681696314995	6.21217136027969e-61	9.69927021718336e-59
YDR055W	78.2468714318133	-2.12235669827241	0.133418950921779	-15.9074605489643	5.62491954670295e-57	8.49907198605052e-55
YEL040W	215.660758449015	-1.54659378993619	0.0981348705816278	-15.7598800586357	5.87443686989391e-56	8.59870696830721e-54
YNL160W	59.8547751439005	-2.64374115007262	0.169978838523087	-15.5533546001583	1.50985816610044e-54	2.14308353030741e-52
YMR272C	67.5998102131408	-1.44415875650754	0.0943004174121886	-15.3144471269422	6.12303109872062e-53	8.43537578423746e-51
YDL048C	75.5671280371529	-1.38883481581915	0.0910325647821465	-15.2564614557749	1.4911851551193e-52	1.99563179045109e-50
YKL062W	43.0413319045011	-2.0618292665898	0.136119621415332	-15.1471863141515	7.90804094385616e-52	1.02892399391729e-49
YHR136C	27.6194935196246	-4.70073236245348	0.310435732949984	-15.1423688174803	8.50926337945917e-52	1.07722674782126e-49
YMR006C	62.5222522867519	-1.97675545292441	0.130811599354364	-15.1114691868376	1.36071692667463e-51	1.67726265382736e-49
YOL155C	96.8549089347346	-2.40169022804391	0.159488479506374	-15.0587066569151	3.02649956993634e-51	3.63490358604662e-49
YNL327W	128.640679348927	-1.37991976165705	0.0928396172249336	-14.8634796534518	5.68917967983147e-50	6.66202940508265e-48
YDR044W	100.035641816292	-1.76720519260587	0.119222554789255	-14.8227421877487	1.04432617567947e-49	1.19307897728845e-47
YDR345C	1352.53471592038	-1.1729740464285	0.0791441107037216	-14.8207369569109	1.07597471676309e-49	1.19996799364722e-47
YDR277C	56.5751073882416	-2.01858999700033	0.136564893454982	-14.7811779874873	1.93747670328182e-49	2.11049787864466e-47
YAL061W	80.7349173209814	-2.26565404785462	0.155346243024546	-14.5845435573014	3.52270151154169e-48	3.7500758818321e-46
YER001W	34.1946009189695	-2.18947639099898	0.150168574602155	-14.5801236829984	3.7583520009116e-48	3.91202683828221e-46
YOR290C	37.8003509422806	-8.3446955562976	0.595338234421794	-14.0167304463523	1.23159270884809e-44	1.25408266266184e-42
YOL158C	94.7813241307102	-1.76233482109294	0.126279134974797	-13.9558670673874	2.8975625182573e-44	2.88769847564196e-42
YGL028C	48.3999113240199	-1.5035033643634	0.10874003850249	-13.8265848078486	1.76188916847418e-43	1.71931018023606e-41
YGR155W	234.173263790913	-0.948018882813241	0.0686245029182077	-13.8145828749123	2.08156474332446e-43	1.98980597096567e-41
YHR216W	84.5608856684575	-1.27350272338032	0.0951505291561204	-13.3840845098275	7.49147360883563e-41	7.01801247675722e-39
YJR148W	85.4948677447827	-1.49433325111526	0.112784789033081	-13.2494218761802	4.54692363394771e-40	4.17603731400217e-38
YGR180C	231.529991300385	-0.754243783449681	0.0576631301985042	-13.0801741225843	4.27459890163372e-39	3.85042716447161e-37
YNL217W	61.291896210834	-1.42215398926254	0.110873505699127	-12.8268153901599	1.16036464827577e-37	1.02549962500448e-35
