gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
YDR033W	220.24606683209	-3.7444121510354	0.108694941400743	-34.4488170542387	4.69040559054673e-260	2.60552030554871e-256
YOR153W	342.125443422545	-2.67584710282026	0.0817224810523195	-32.7430967386705	3.80718760072065e-235	1.05744635610016e-231
YGR234W	126.047906375838	-4.17293800815684	0.13258619077018	-31.4733984279709	2.00896537310535e-217	3.71993421586673e-214
YER081W	185.44876429996	3.10167571107462	0.107278121889854	28.9124721465502	8.32178826436716e-184	1.15568834521399e-180
YDR077W	1363.77535169218	-3.50975698933975	0.124131585872457	-28.2744876307788	7.1181847664949e-176	7.90830327557584e-173
YPL019C	99.7662550343985	-2.49082471872172	0.102033297206879	-24.4118810908502	1.27908585791551e-131	1.18422032345344e-128
YPR149W	166.880346672603	-2.18499631894614	0.0898655609357164	-24.3140564215599	1.39216739212527e-130	1.10478426617941e-127
YHR092C	388.268060806724	-2.48452756608765	0.11324651494078	-21.939108390107	1.10037639037204e-106	7.64073856064586e-104
YBR067C	201.477184060175	-2.80470599783427	0.131363264732434	-21.350763499575	3.83620177148159e-101	2.36778898228669e-98
YFR015C	287.332683726745	-3.05849652040438	0.146443414288391	-20.8851762659759	7.30347028928125e-97	4.05707774569573e-94
YOR273C	101.203395336383	-2.03719219314342	0.0980071939298443	-20.786149582057	5.77640918405764e-96	2.91708663794911e-93
YER011W	66.113467101608	-3.85103861434963	0.190253451471458	-20.2416228697295	4.21073379875423e-91	1.94921885433998e-88
YOL109W	135.186787023918	-2.47961865608801	0.125121786328538	-19.8176411066988	2.09710852289521e-87	8.96110603437146e-85
YKL109W	86.1264730227762	-1.8614160312648	0.0950102688812333	-19.5917352217122	1.81884325327244e-85	7.21691019423456e-83
YIL121W	44.5885808135633	-2.6676108854257	0.138710019411123	-19.2315659441959	2.01452454979425e-82	7.46045591607139e-80
YDR406W	72.2283422575377	-2.02868788079229	0.105865079602227	-19.162956174168	7.54630228877778e-82	2.61998182588503e-79
YDL039C	74.0171866945216	-3.19507239399032	0.176554287491496	-18.0968269838488	3.37562287017868e-73	1.10303441434368e-70
YCL064C	150.341088744118	-1.39087845509121	0.0770426460581464	-18.0533577992827	7.42371651527939e-73	2.29104140235428e-70
YEL071W	183.456432006915	1.13052318924071	0.0626862347675057	18.0346322192369	1.04186302866703e-72	3.04607848644492e-70
YJL012C	116.329034494716	-1.38411230343162	0.0790012058875045	-17.5201414697715	1.00575003233286e-68	2.79347071480451e-66
YIL169C	74.6679421501964	-3.43892446785373	0.196469095664636	-17.5036407442106	1.34397102662211e-68	3.55512335851706e-66
YFR055W	63.7844568989316	-2.02140155570563	0.116744642665322	-17.3147264795738	3.64249094712851e-67	9.19728964149948e-65
YLR300W	254.662663831667	-1.28725441453964	0.0748599198994576	-17.1955088419613	2.86927831250723e-66	6.92993088085985e-64
YDR399W	87.3660102058815	-1.94610433845445	0.113711081694257	-17.1144650939745	1.15774312844376e-65	2.67969294937712e-63
YHR143W	210.341732467478	-1.21438055819867	0.071483513723101	-16.9882605785539	1.00320294691981e-64	2.22911694805581e-62
YBR092C	54.7840425665204	-2.71823687536408	0.162048411983853	-16.7742271712908	3.76728413969296e-63	8.04894745999785e-61
YDR342C	91.8238158928876	-3.12783792671342	0.187691708759504	-16.6647634431271	2.36422109146762e-62	4.8641659863343e-60
YLR413W	120.081582351324	-2.1848249914434	0.131287654182278	-16.6415113824033	3.48704525770851e-62	6.91804871663243e-60
YHL047C	87.8211948518734	-1.73862932624997	0.105236985133953	-16.5210864225816	2.58695818729406e-61	4.95536301048913e-59
