gene_id	log2FoldChange	padj
YDR033W	-3.7444121510354	2.60552030554871e-256
YOR153W	-2.67584710282026	1.05744635610016e-231
YGR234W	-4.17293800815684	3.71993421586673e-214
YER081W	3.10167571107462	1.15568834521399e-180
YDR077W	-3.50975698933975	7.90830327557584e-173
YPL019C	-2.49082471872172	1.18422032345344e-128
YPR149W	-2.18499631894614	1.10478426617941e-127
YHR092C	-2.48452756608765	7.64073856064586e-104
YBR067C	-2.80470599783427	2.36778898228669e-98
YFR015C	-3.05849652040438	4.05707774569573e-94
YOR273C	-2.03719219314342	2.91708663794911e-93
YER011W	-3.85103861434963	1.94921885433998e-88
YOL109W	-2.47961865608801	8.96110603437146e-85
YKL109W	-1.8614160312648	7.21691019423456e-83
YIL121W	-2.6676108854257	7.46045591607139e-80
YDR406W	-2.02868788079229	2.61998182588503e-79
YDL039C	-3.19507239399032	1.10303441434368e-70
YCL064C	-1.39087845509121	2.29104140235428e-70
YEL071W	1.13052318924071	3.04607848644492e-70
YJL012C	-1.38411230343162	2.79347071480451e-66
YIL169C	-3.43892446785373	3.55512335851706e-66
YFR055W	-2.02140155570563	9.19728964149948e-65
YLR300W	-1.28725441453964	6.92993088085985e-64
YDR399W	-1.94610433845445	2.67969294937712e-63
YHR143W	-1.21438055819867	2.22911694805581e-62
YBR092C	-2.71823687536408	8.04894745999785e-61
YDR342C	-3.12783792671342	4.8641659863343e-60
YLR413W	-2.1848249914434	6.91804871663243e-60
YHL047C	-1.73862932624997	4.95536301048913e-59
YKL182W	-1.07208582878816	9.25328272851674e-59
YDR055W	-2.1228410430264	6.55892725469114e-55
YEL040W	-1.54706847411899	4.36924195181475e-54
YNL160W	-2.6443189583348	2.15347406861198e-52
YMR272C	-1.44451836687374	1.25490262206392e-50
YDL048C	-1.38922029115506	2.69830323609489e-50
YHR136C	-4.70124083044415	1.55710658475628e-49
YMR006C	-1.97713976079926	1.62749672074679e-49
YKL062W	-2.06224252280397	1.6711216106793e-49
YOL155C	-2.40235746205352	2.77434092909649e-49
YDR345C	-1.17335762687652	4.75792404177289e-48
YNL327W	-1.38037448911283	4.86424804962029e-48
YDR044W	-1.76752215057847	5.89864518869768e-48
YDR277C	-2.0190919502035	2.63101860362391e-47
YAL061W	-2.26633392345635	3.138559377677e-46
YER001W	-2.18978891515257	7.20753386313213e-46
YOR290C	-8.34507138923306	1.51381283725434e-42
YOL158C	-1.76291751528615	2.59991901638592e-42
YGL028C	-1.50387719093323	2.80171635412037e-41
YHR216W	-1.27391308664546	6.31312515856374e-39
YJR148W	-1.49486785316293	4.83270902305906e-38
YNL217W	-1.42261916019764	1.34136536744754e-35
YHR215W	-4.57191857909657	1.72183744602983e-35
YER072W	-1.1651018198531	1.55509111267194e-34
YER056C	-1.07711905915835	3.78090035766247e-34
YKR039W	1.80732473125248	6.06855481873369e-34
YER053C	-1.36849971835484	1.007281971904e-33
YER124C	-1.49395678922403	6.53234609862477e-33
YDL229W	-1.22664627235097	4.58892180397582e-32
YIL056W	-1.40458139081434	7.49301226081784e-32
YNR067C	-1.32125987029882	4.73536319473047e-31
YLR258W	-2.06443889587328	1.91616124717387e-30
