gene_id	SNF2KO_01	SNF2KO_02	SNF2KO_03	SNF2KO_04	SNF2KO_05	SNF2KO_06	SNF2KO_07	SNF2KO_08	SNF2KO_09	SNF2KO_10	SNF2KO_11	SNF2KO_12	WT_01	WT_02	WT_03	WT_04	WT_05	WT_06	WT_07	WT_08	WT_09	WT_10	WT_11	WT_12
YAL064W-B	5.20780713729071	5.2896570001699	5.14663226222227	5.33731049410728	5.18047116757217	4.46716785545919	5.22811372768961	4.70975731366507	4.92555038920561	4.9501777351588	5.45605032581724	5.13352508170099	5.258040216432	4.98296979677846	5.1948034536932	4.96531961802434	5.11248454931985	5.01938293572074	5.04703952666618	5.02457580838416	5.33307864200691	4.85931592618195	5.08226470626384	4.99186968090174
YAL063C	5.16430460656896	5.1422576998524	5.14663226222227	5.03050939522661	5.18047116757217	5.19728010934877	5.08803055886836	4.79609314332688	5.14546930789823	5.3963058796289	5.00213014363598	5.13352508170099	5.20331048220624	4.98296979677846	5.0749700684719	4.7282877070357	4.93937204885124	4.80971670977811	4.91050045957671	5.092861737082	5.27501662625039	5.20453856620529	5.1546936418103	5.17557575799016
YAL062W	6.11778120989629	5.89464361181847	5.71528618859448	5.84576880700129	5.96388093924403	5.74781970370858	5.96935452405932	5.79440249862486	5.65710860437353	5.70176139024981	5.84732819328211	5.87262667427117	5.68506458486674	5.56089562664394	5.63764929888946	5.53247760626938	5.84606146656861	5.71244028344636	5.62970605291709	5.83521881174808	5.82082297566581	5.81996316815417	6.09299201524062	5.57519554320066
YAL061W	5.95900221477823	5.92043735550806	5.74252587827281	5.78985218700474	5.89669781776171	5.92310410001589	6.01228110685018	5.62235564154929	5.79336328256895	5.86730406763062	5.92151657146077	5.66819152965789	7.78308776765903	6.93224548678273	7.4630864658422	7.21197874215457	7.25708933401935	6.66421548592647	7.05925345688836	7.52770618807757	7.77907171613368	7.27154442714262	7.9125809956713	7.23658870857155
YAL060W	6.50204972790761	6.79362986986165	6.55984863031984	6.67643123676964	6.71714154360906	6.43335839653879	6.73632017442926	6.37785962752075	6.22246399191793	6.50081381551854	6.70408036322013	6.4005472096808	7.06543939251696	6.46405424162044	6.80955165967995	6.68780302294046	6.63508888099144	6.43428579622911	6.62564744155135	7.13846462640219	7.35034227792957	7.13926238537972	7.34636427339031	7.04019481685626
YAL059W	4.90421778283501	4.89421238725981	4.85962165602555	5.37986724351796	4.91648907138893	4.8621805112611	5.03567796038947	5.0016929852076	4.98659811276307	4.80483065155786	4.87205938091151	5.03228912705409	5.01498536650238	4.83195695822756	5.00789261748844	5.49599186995467	4.87146838300793	5.36478142507494	5.31379621383874	4.86641408098652	4.68709295420322	4.76488551334436	4.91426743312426	4.91970297677729
YAL058W	5.28905053392472	5.33403685674257	4.92647205054772	5.24615746589719	5.58174188265319	5.40263888955128	5.03567796038947	5.21089319156499	5.14546930789823	5.35617484264124	5.62306930164466	5.58103405494901	5.14504625633809	5.4453877456173	5.44000351513162	5.29127632198995	5.41824851674965	5.4051644062524	5.48359891244184	5.092861737082	5.4893372398898	5.36020465487861	5.63657301058125	5.3730990372437
YAL056W	6.51586498707792	6.67053473003474	6.64195293393349	6.47590937513962	6.61554461149736	6.70148850424143	6.4386125251421	6.62183024210766	6.51448696970436	6.69053754372394	6.73010386745819	6.28753489914014	6.30524666149308	6.44645448215871	6.59166315942718	6.43951258342617	6.23608546731354	6.38313786698103	6.57845495497201	6.44870704876192	6.31761125997876	6.04868784268944	6.69264078181185	6.41267415131006
YAL055W	5.70012111611603	5.86828747721565	5.82062093942606	5.42069032459442	5.80087297075484	5.6041964932061	5.5555129466233	5.55863454031241	5.62779053190586	5.70176139024981	5.62306930164466	5.51884029244274	5.96589159435747	5.76085230933003	5.86640031945381	5.24466973387752	5.59054931166675	5.13258743779128	5.40225281432916	5.701029074418	5.43985617334725	5.45175054547466	6.09299201524062	5.89408058422963
YAL054C	5.87122674394021	5.63307084864506	5.36070536130843	5.84576880700129	5.66893537507378	5.43902784847623	5.61616799333576	5.55863454031241	5.53487001459758	5.96614435572702	5.68336430612922	5.34507851329661	5.35881499800009	5.26782169064184	5.3004641330414	5.14368581630366	5.16290336821804	5.23254749230289	5.31379621383874	5.092861737082	5.70757445655523	5.40700830620384	5.44984751147896	5.11872036036469
YAL053W	8.09482710858749	7.99804811426054	8.0038887873479	7.93112915673606	7.93541510327916	7.98765005219517	8.03839074139458	7.84663399340371	7.91808707663529	7.99756031052171	7.92701607180605	7.9340864588874	7.98713619867572	7.10668718996908	7.7329629766145	7.40230177092612	7.96290114936318	7.39202676002175	7.40698473507421	7.88234502796054	7.91532367350278	7.89176187415252	8.09504214642248	7.87969675716203
YAL051W	5.72615454696675	5.41721458910356	5.76914021359233	5.99944226317252	5.82556074519509	5.87559101960091	5.80595442529667	5.846526679036	5.59768142059763	5.70176139024981	5.76822208545729	5.84893047431993	5.57396726803193	5.76085230933003	5.39561546735951	5.81600658839084	5.71116602279651	5.8527269777741	5.8183947580024	5.89700441558999	5.62536529974489	5.78806272970994	5.71929824889845	5.71349293886448
YAL049C	6.06057621286277	6.53515812683567	6.00694209124322	6.11433745419132	6.12701348101743	6.3856389711304	6.26043670289119	6.2551438430266	6.34384735592302	6.20325092654595	6.58038125869905	6.18219441463217	6.17071125911485	5.93139016696622	5.89573539489202	5.72909901401414	6.03456987647576	6.17639791911196	5.72790579247269	6.34722863553838	5.85627453446709	6.09981447292562	6.12195142297119	5.80723632602984
YAL047C	5.24931537367387	4.96413134538712	5.14663226222227	5.29282090413388	5.03274812819348	5.43902784847623	5.03567796038947	4.9396083572381	4.92555038920561	4.71737215803252	5.11325872820961	5.26613645504588	5.08257715119271	5.4453877456173	5.24913362171586	4.89530415040044	5.05886583920565	5.18396883895377	5.31379621383874	5.092861737082	5.14676130373959	5.14621215995856	4.81285826536056	5.17557575799016
YAL044C	5.8937733089427	6.17348890943513	5.91735035718419	5.84576880700129	5.77565733355943	5.96883177264984	6.24296666739693	5.79440249862486	5.98318773418945	6.31614082665201	5.84732819328211	6.02669837543403	7.05322671288822	6.39220989309351	6.60844039617967	6.36949706010845	6.72839697076307	6.38313786698103	6.59436978974022	7.0279820644854	7.20667949088166	6.67709505135555	7.1605914981983	6.90494452122258
YAL043C	6.25884301429596	6.15247472595264	6.20629172678897	6.04667292439345	6.38598504098183	6.26706184506469	6.29468696156226	6.05673798774184	6.24051461050355	6.36912011007159	6.36199377133666	6.32083027620392	6.12254275131627	6.29652597438263	6.41123276962903	5.99712849735623	6.32610912328737	6.27446049520996	6.19085599970213	6.01187815754151	6.53980255642539	6.09981447292562	6.25764108879647	5.92168895584301
YAL042W	7.59382692640174	7.79532479532201	7.56595195431484	7.66806945290651	7.89898940622138	7.79607212229711	7.83714706899592	7.44691400898008	7.66842382849444	7.68023634251057	7.79467039547992	7.63194308028864	7.92892563396591	7.6071516825772	7.81964640109377	7.74009054360152	7.33413836487385	7.37523982368089	7.54123748632388	7.6722653921762	8.06056092849332	7.70323289951065	7.98838326760343	7.73701179966428
YAL041W	6.02093783672849	6.17348890943513	5.86995903957782	5.92502904512666	5.94189495380512	6.01292006520991	6.18909218853371	5.65289423150399	5.91544623511304	6.01272505004634	5.84732819328211	6.18219441463217	5.84917485470117	5.84916281018927	6.17933617805681	6.02094512573617	6.1393158270762	6.0478345393113	5.9554166411194	5.701029074418	5.74656015398201	5.85102770651355	6.12195142297119	5.68047646870111
YAL040C	6.17251479778403	6.06475840635731	6.00694209124322	6.13611000269594	6.0275792904828	6.36934161580042	6.05377291113425	6.13984168244949	6.04740209381211	6.12208963688859	6.31011366791946	6.30428874011636	6.02032350273994	6.39220989309351	6.22469522918201	6.48970156020818	6.23608546731354	6.32992601012426	6.38964581495669	5.73605373917721	6.19061354448666	5.99538176454652	5.93719741711213	6.33621361288227
YAL039C	7.10833413029919	7.11847092571191	6.6551651353727	6.90068096301061	7.04250016341936	7.12740228212192	7.29765936964618	7.13843671773161	6.74172761693542	7.04814998046108	7.05056449925306	6.96179673275089	7.22606915042099	6.59708686787736	7.29083915253413	6.80976459336854	6.93158810535879	6.79832377188952	6.85292896397196	7.10260064857232	7.50130707365237	7.05589687138726	7.40321063424958	6.98034702901557
YAL038W	9.23205286952161	9.24860418780141	9.52098799858937	9.31354529670582	9.36850754129959	9.23908867698162	9.10991876452548	9.45683175342226	9.42745142371283	9.70506119897789	9.53024582896868	9.19632692127514	10.751043151687	10.1406547176395	10.5787754808567	10.214762191174	10.0606418081472	10.1751371837062	10.2875373052294	10.4823754573839	11.2128140157712	10.4004635875473	11.2606341037637	10.3358962838755
YAL035W	7.63739716954335	7.49701435460261	7.91575471062258	7.76345807963527	7.82322335661918	7.6084824359539	7.60274150108632	7.79939803053886	7.75460850704688	7.90897870359178	7.8709769023396	7.73601002954444	8.03696006946502	8.21531206241816	7.98489892886932	8.050966664877	7.73103717391195	8.1200799485516	8.00211606437016	7.81813721620527	8.12139457393084	7.77872517642691	8.23836359841511	7.75123353459863
YAL034C	5.84824909059063	5.66523719708589	6.00694209124322	6.19928116699734	5.96388093924403	5.72050571650738	6.17062027342032	5.9905844453096	5.81879994055751	5.73103338935766	6.01389117557851	5.98461465302266	5.64924348992103	5.76085230933003	5.83633028992991	5.72909901401414	6.3939169179822	5.79860520062154	5.75885402011513	5.95578601673259	6.10792391354224	6.02232026516558	6.12195142297119	6.00095713960582
