ID	Description	pvalue	p.adjust	ES	NES	size	leadingEdge
GO:0002181	cytoplasmic translation [biological_process]	6.37515806760749e-17	9.10372572054349e-14	-0.713639685899654	-2.46713090334951	119	YDL229W/YER131W/YJL177W/YMR242C/YHR064C/YML026C/YHL033C/YLR048W/YKL056C/YNL209W/YPL198W/YNL069C/YPL131W/YGR214W/YIL018W/YBL087C/YMR142C/YFR031C-A/YPL079W/YLR264W/YKL180W/YOR091W/YJL190C/YNL301C/YER056C-A/YDR450W/YGL147C/YDR471W/YLR344W/YBR031W/YIL069C/YBR261C/YDL075W/YBL027W/YDL136W/YCR031C/YOL120C/YBL092W/YGL076C/YKR094C/YDR152W/YOR293W/YLL045C/YLR406C/YLR441C/YJR145C/YIL148W/YIL133C/YIL052C/YBR084C-A/YDL191W/YDL061C/YMR230W/YNL178W/YEL054C/YML063W/YFL034C-A/YPR163C/YGR173W/YOR234C/YLR388W/YDR500C/YOR312C/YHR141C/YHR010W/YHR203C/YHL001W/YJR094W-A/YER117W/YOR096W/YLR029C/YOL039W/YNL067W/YOL127W/YNL162W/YGL135W/YGR034W/YER074W/YLR075W/YNL096C/YLR333C/YDL130W/YLR448W/YBR061C/YDR447C/YML024W/YDL081C/YJL191W/YGR085C/YLR340W/YPR102C
GO:0006364	rRNA processing [biological_process]	2.16913947792308e-11	1.54876558723708e-08	-0.740512337791809	-2.34754184567824	68	YDL229W/YCR018C/YHR064C/YGR159C/YPL093W/YHR062C/YNL209W/YKL009W/YNL112W/YDL014W/YHR197W/YNL221C/YGL120C/YLL008W/YOR063W/YNL182C/YLR175W/YJL033W/YKL172W/YDR365C/YDR299W/YHR085W/YLR196W/YHR148W/YLR409C/YPR016C/YDL208W/YEL055C/YGR285C/YPL082C/YGR090W/YLR197W/YLR106C/YMR049C/YDR087C/YMR290C/YBR247C/YDL148C/YNL075W/YPL235W/YMR239C/YDR412W/YAL033W/YOL080C/YOR287C/YLL035W/YLR002C/YPR144C
GO:0000462	maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [biological_process]	5.14510590236174e-10	2.44907040952419e-07	-0.727768899899582	-2.3000508072689	66	YCR057C/YBR189W/YGR128C/YDR064W/YDR398W/YLR222C/YOR004W/YDL060W/YGL120C/YIL091C/YPL126W/YIL069C/YDR299W/YHL015W/YCR031C/YMR093W/YGR103W/YPL012W/YLR129W/YOR056C/YDR025W/YMR128W/YLR441C/YER082C/YHR196W/YJL109C/YPL090C/YGR145W/YOR119C/YBR048W/YKL078W/YAL035W/YKR060W/YDL153C/YER102W/YML063W/YKL156W/YHR065C/YHR021C/YLL011W/YDR324C/YBL072C/YLR435W/YMR290C/YDL148C/YGR118W/YBR181C/YDR449C/YOR287C/YER074W/YGR271C-A/YPR132W/YDL166C/YJL191W
GO:0042273	ribosomal large subunit biogenesis [biological_process]	1.6379849503933e-09	5.84760627290409e-07	-0.770961446186613	-2.28338099306598	46	YPL093W/YKL009W/YPL198W/YFR031C-A/YNR046W/YAL025C/YGR162W/YPL211W/YGL120C/YGR103W/YOR206W/YGL076C/YBR267W/YDL063C/YNL061W/YLR397C/YOR272W/YIR012W/YPR016C/YDR091C/YLR009W/YLL034C/YGL111W/YGR245C/YDR060W/YNL002C/YER002W/YOR294W/YMR049C/YDR496C/YER126C/YBR142W/YMR290C/YNL110C/YDR161W/YPL043W
GO:0000447	endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [biological_process]	2.04403855559969e-08	5.83777411479272e-06	-0.757286158562324	-2.22530568554461	43	YML026C/YLR048W/YCR057C/YGR214W/YLR222C/YOR004W/YHR169W/YDR450W/YJR002W/YML093W/YLR129W/YER082C/YER127W/YPR112C/YJL109C/YGL171W/YJL069C/YDL153C/YMR229C/YKR057W/YOL010W/YOR294W/YJL010C/YJL136C/YNR054C/YPR137W/YBR247C/YDL148C/YKL099C/YOR145C/YDR449C/YPR144C/YDR339C/YLR186W/YBL004W/YLR051C/YNL308C
GO:0000463	maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [biological_process]	6.43122403352177e-07	0.000153063131997818	-0.759691122205025	-2.14005217476478	34	YER131W/YAL025C/YLR276C/YPL211W/YGL120C/YHR052W/YDL136W/YHR085W/YNL061W/YKR024C/YPR016C/YHR088W/YDL191W/YNR038W/YER006W/YNL002C/YCL054W/YER126C/YLR435W/YBR142W/YMR290C/YNL110C/YHR066W/YPL043W/YKL014C/YKR081C/YDL031W/YOL041C
GO:0000027	ribosomal large subunit assembly [biological_process]	1.08330454426229e-06	0.000220994127029507	-0.744481912283062	-2.12254835726187	36	YPL131W/YHR197W/YOL077C/YLL008W/YOR063W/YNL182C/YKR094C/YCR072C/YHR085W/YIL148W/YIR012W/YEL055C/YEL054C/YGL099W/YDR060W/YLR106C/YHL001W/YHR066W/YOL127W/YOL080C/YKR081C/YLR221C/YIL110W/YLR075W/YDR312W/YLR448W/YIR026C/YGR085C/YLR340W/YPR102C
GO:0000472	endonucleolytic cleavage to generate mature 5'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [biological_process]	1.95529016884311e-06	0.000349019295138495	-0.753517995200394	-2.10450947731615	32	YCR057C/YLR222C/YOR004W/YHR169W/YJR002W/YML093W/YLR129W/YER082C/YPR112C/YJL109C/YGL171W/YJL069C/YDL153C/YMR229C/YOL010W/YJL010C/YNR054C/YPR137W/YDL148C/YKL099C/YOR145C/YDR449C/YPR144C/YDR339C/YLR186W/YBL004W/YLR051C/YPL217C
GO:0000480	endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [biological_process]	3.18515580301512e-06	0.000505378054078399	-0.756204679921362	-2.10338169640844	31	YCR057C/YLR222C/YOR004W/YHR169W/YJR002W/YML093W/YLR129W/YER082C/YER127W/YPR112C/YJL109C/YGL171W/YJL069C/YDL153C/YMR229C/YOL010W/YJL010C/YNR054C/YPR137W/YDL148C/YKL099C/YDR449C/YPR144C/YDR339C/YLR186W/YBL004W/YLR051C/YPL217C
GO:0031505	fungal-type cell wall organization [biological_process]	5.40745499841306e-06	0.000772184573773386	-0.606708114043047	-1.96900282498422	78	YDR077W/YBR067C/YER011W/YOL109W/YLR300W/YDR055W/YEL040W/YOL155C/YMR307W/YKL164C/YKL096W/YIL123W/YOL061W/YJR104C/YKL163W/YLR194C/YLR120C/YKL181W/YJL158C/YKL096W-A/YJL159W
