ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0006364	rRNA processing [biological_process]	13/255	72/7127	1.24857334939678e-06	0.000300906177204624	0.000300906177204624	YCR018C/YDL229W/YDR299W/YGR159C/YHR062C/YHR085W/YHR148W/YHR197W/YKL009W/YLL008W/YNL112W/YNL182C/YPL093W	13
GO:0031505	fungal-type cell wall organization [biological_process]	13/255	80/7127	4.29671791038559e-06	0.000517754508201464	0.000517754508201464	YBR067C/YDR055W/YDR077W/YDR528W/YEL040W/YER011W/YIR039C/YKL096W/YKL163W/YLR194C/YLR300W/YOL109W/YOL155C	13
GO:0006799	polyphosphate biosynthetic process [biological_process]	3/255	3/7127	4.528527117814e-05	0.00248046825533064	0.00248046825533064	YDR089W/YER072W/YJL012C	3
GO:0006730	one-carbon metabolic process [biological_process]	4/255	7/7127	5.1461996998561e-05	0.00248046825533064	0.00248046825533064	YAL044C/YDR019C/YKR080W/YLR058C	4
GO:1904659	D-glucose transmembrane transport [biological_process]	4/255	7/7127	5.1461996998561e-05	0.00248046825533064	0.00248046825533064	YDR277C/YDR342C/YDR345C/YMR011W	4
GO:0005978	glycogen biosynthetic process [biological_process]	4/255	9/7127	0.000175004331291363	0.00702934064020307	0.00702934064020307	YFR015C/YKR058W/YLR258W/YMR105C	4
GO:0000920	septum digestion after cytokinesis [biological_process]	5/255	18/7127	0.000329371535032841	0.0113397914204164	0.0113397914204164	YCR057C/YER124C/YHR143W/YNL327W/YNR067C	5
GO:0006796	phosphate-containing compound metabolic process [biological_process]	3/255	5/7127	0.000429162996037442	0.0129285352556279	0.0129285352556279	YAR071W/YBR092C/YGR233C	3
GO:0000462	maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [biological_process]	9/255	67/7127	0.000579863917571332	0.0155274671260768	0.0155274671260768	YCR057C/YDR299W/YGR128C/YHR196W/YIL091C/YKL078W/YKR060W/YMR093W/YOR004W	9
GO:0055085	transmembrane transport [biological_process]	9/255	70/7127	0.000803352109239076	0.0183079487615025	0.0183079487615025	YBR296C/YCL025C/YDR342C/YDR343C/YDR345C/YDR536W/YEL065W/YFL054C/YIL121W	9
GO:0006189	'de novo' IMP biosynthetic process [biological_process]	3/255	6/7127	0.000835632516085176	0.0183079487615025	0.0183079487615025	YAR015W/YMR120C/YMR300C	3
GO:0008645	hexose transmembrane transport [biological_process]	4/255	14/7127	0.0012064556355331	0.0242296506802897	0.0242296506802897	YDR342C/YDR343C/YDR345C/YHR092C	4
GO:0015891	siderophore transport [biological_process]	3/255	8/7127	0.0022179973831166	0.0411182591793154	0.0411182591793154	YEL065W/YHL047C/YOR383C	3
GO:0006144	purine nucleobase metabolic process [biological_process]	2/255	3/7127	0.00373540839611305	0.0500129679701803	0.0500129679701803	YGL234W/YOR128C	2
GO:0006650	glycerophospholipid metabolic process [biological_process]	2/255	3/7127	0.00373540839611305	0.0500129679701803	0.0500129679701803	YMR006C/YMR008C	2
GO:0009636	response to toxic substance [biological_process]	2/255	3/7127	0.00373540839611305	0.0500129679701803	0.0500129679701803	YGR177C/YOL002C	2
GO:0035435	phosphate ion transmembrane transport [biological_process]	2/255	3/7127	0.00373540839611305	0.0500129679701803	0.0500129679701803	YBR296C/YER053C	2
GO:0071218	cellular response to misfolded protein [biological_process]	2/255	3/7127	0.00373540839611305	0.0500129679701803	0.0500129679701803	YGR234W/YJL082W	2
GO:0006797	polyphosphate metabolic process [biological_process]	3/255	10/7127	0.00450634969360443	0.0571594882188773	0.0571594882188773	YER072W/YJL012C/YPL019C	3
GO:0000480	endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [biological_process]	5/255	32/7127	0.00514227500025438	0.0619644137530652	0.0619644137530652	YCR057C/YGL171W/YHR169W/YOL010W/YOR004W	5
