gene_id	SNF2KO_01	SNF2KO_02	SNF2KO_03	SNF2KO_04	SNF2KO_05	SNF2KO_06	SNF2KO_07	SNF2KO_08	SNF2KO_09	SNF2KO_10	SNF2KO_11	SNF2KO_12	WT_01	WT_02	WT_03	WT_04	WT_05	WT_06	WT_07	WT_08	WT_09	WT_10	WT_11	WT_12
agat-cds-3177	20.837032	17.707903	22.484086	19.157809	12.104806	19.073405	23.976416	28.805932	23.204757	26.192587	31.087495	20.554473	10.067822	13.916932	14.474498	18.026248	32.013035	15.212959	17.415321	4.705221	9.605189	19.185168	6.732286	12.829101
agat-cds-5850	33.384867	20.175225	32.021119	20.537367	31.030704	19.557889	39.336708	24.993382	21.414764	21.974651	27.892507	32.932153	55.489111	24.973264	34.631719	35.647972	60.181366	33.798666	20.408787	27.742245	32.009806	41.804045	35.667013	44.726913
agat-cds-6054	0	0	951.828168	521.459088	1091.975876	0	1705.048177	0	438.25785	0	0	1075.826409	0	0	680.564853	763.362716	0	138.888722	0	0	755.811754	755.52638	165.166549	175.628619
agat-gene-10	7.82335	3.736629	9.460083	5.002497	4.578618	7.425603	5.134963	4.319366	0	4.725948	6.235605	16.834223	0	0	0	2.276786	2.629939	0	2.494584	0	0	0	0	0
agat-gene-2	32.521519	17.547754	24.063201	18.639374	28.500907	28.067845	25.660341	17.390744	23.178853	16.989187	26.801517	23.831238	16.162366	17.376746	22.376003	16.536238	22.840928	23.517583	23.076168	14.267761	12.849732	16.254968	15.21079	17.391488
agat-gene-3	978.057077	436.850188	505.704808	411.189528	803.961114	808.539013	840.432458	822.683793	1081.849112	948.131596	740.292033	469.063737	1570.148845	1378.807549	2042.131962	1256.116766	3400.819797	1989.9121	1889.567546	1549.357865	2341.238568	1125.629295	1483.520947	2242.867056
agat-transposable_element_gene-1	0	0	28.345706	10.801423	38.864785	0	0	0	0	0	0	56.551345	47.851972	85.292006	38.363915	139.33251	15.914213	110.828729	67.960985	31.113569	26.440714	23.24036	4.070429	16.88863
agat-transposable_element_gene-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
agat-transposable_element_gene-12	48.292646	33.766416	58.661269	25.213327	45.362286	33.522679	45.134437	45.752158	23.935426	38.92541	40.421019	39.029059	54.162929	50.870555	60.800524	74.402579	72.602835	80.147923	66.435188	63.609039	44.060869	65.56111	53.66064	69.039051
agat-transposable_element_gene-14	0	54.000587	55.979875	31.282221	34.424102	34.671495	42.023324	52.879226	82.456649	52.954928	64.631957	56.308918	117.486491	85.462169	104.029184	93.171524	144.852062	149.342108	109.278327	87.974284	170.527068	95.065291	120.425932	135.996139
