sample_id	layout	trimmed	quant_sf	estimated_num_reads
SNF2KO_01	false		/home/kyhan/test/rna-seq/yeast-standard-out/03_results/expression/03_results/salmon/SNF2KO_01/quant.sf	462354.990
SNF2KO_02	false		/home/kyhan/test/rna-seq/yeast-standard-out/03_results/expression/03_results/salmon/SNF2KO_02/quant.sf	460924.002
SNF2KO_03	false		/home/kyhan/test/rna-seq/yeast-standard-out/03_results/expression/03_results/salmon/SNF2KO_03/quant.sf	460941.000
SNF2KO_04	false		/home/kyhan/test/rna-seq/yeast-standard-out/03_results/expression/03_results/salmon/SNF2KO_04/quant.sf	468563.010
SNF2KO_05	false		/home/kyhan/test/rna-seq/yeast-standard-out/03_results/expression/03_results/salmon/SNF2KO_05/quant.sf	460164.988
SNF2KO_06	false		/home/kyhan/test/rna-seq/yeast-standard-out/03_results/expression/03_results/salmon/SNF2KO_06/quant.sf	458917.996
SNF2KO_07	false		/home/kyhan/test/rna-seq/yeast-standard-out/03_results/expression/03_results/salmon/SNF2KO_07/quant.sf	458793.012
SNF2KO_08	false		/home/kyhan/test/rna-seq/yeast-standard-out/03_results/expression/03_results/salmon/SNF2KO_08/quant.sf	458449.993
SNF2KO_09	false		/home/kyhan/test/rna-seq/yeast-standard-out/03_results/expression/03_results/salmon/SNF2KO_09/quant.sf	461407.003
SNF2KO_10	false		/home/kyhan/test/rna-seq/yeast-standard-out/03_results/expression/03_results/salmon/SNF2KO_10/quant.sf	461963.012
SNF2KO_11	false		/home/kyhan/test/rna-seq/yeast-standard-out/03_results/expression/03_results/salmon/SNF2KO_11/quant.sf	458683.003
SNF2KO_12	false		/home/kyhan/test/rna-seq/yeast-standard-out/03_results/expression/03_results/salmon/SNF2KO_12/quant.sf	462091.996
WT_01	false		/home/kyhan/test/rna-seq/yeast-standard-out/03_results/expression/03_results/salmon/WT_01/quant.sf	462081.006
WT_02	false		/home/kyhan/test/rna-seq/yeast-standard-out/03_results/expression/03_results/salmon/WT_02/quant.sf	463271.006
WT_03	false		/home/kyhan/test/rna-seq/yeast-standard-out/03_results/expression/03_results/salmon/WT_03/quant.sf	458935.972
WT_04	false		/home/kyhan/test/rna-seq/yeast-standard-out/03_results/expression/03_results/salmon/WT_04/quant.sf	464359.992
WT_05	false		/home/kyhan/test/rna-seq/yeast-standard-out/03_results/expression/03_results/salmon/WT_05/quant.sf	461684.996
WT_06	false		/home/kyhan/test/rna-seq/yeast-standard-out/03_results/expression/03_results/salmon/WT_06/quant.sf	465589.018
WT_07	false		/home/kyhan/test/rna-seq/yeast-standard-out/03_results/expression/03_results/salmon/WT_07/quant.sf	463691.983
WT_08	false		/home/kyhan/test/rna-seq/yeast-standard-out/03_results/expression/03_results/salmon/WT_08/quant.sf	463932.003
WT_09	false		/home/kyhan/test/rna-seq/yeast-standard-out/03_results/expression/03_results/salmon/WT_09/quant.sf	466477.009
WT_10	false		/home/kyhan/test/rna-seq/yeast-standard-out/03_results/expression/03_results/salmon/WT_10/quant.sf	461610.012
WT_11	false		/home/kyhan/test/rna-seq/yeast-standard-out/03_results/expression/03_results/salmon/WT_11/quant.sf	465352.022
WT_12	false		/home/kyhan/test/rna-seq/yeast-standard-out/03_results/expression/03_results/salmon/WT_12/quant.sf	461400.990
