tx_id	SNF2KO_01	SNF2KO_02	SNF2KO_03	SNF2KO_04	SNF2KO_05	SNF2KO_06	SNF2KO_07	SNF2KO_08	SNF2KO_09	SNF2KO_10	SNF2KO_11	SNF2KO_12	WT_01	WT_02	WT_03	WT_04	WT_05	WT_06	WT_07	WT_08	WT_09	WT_10	WT_11	WT_12
YPR204W_mRNA	284.93	149.34	217.959	164.337	318.55	224.831	337.974	197.76	202.595	217.692	278.567	223.821	191.04	150.074	159.874	121.784	171.545	198.435	133.803	139.688	156.394	163.436	193.819	176.435
YPR203W_mRNA	0	63.1843	0	0	45.0711	0	185.367	0	46.964	46.4425	60.4304	0	0	52.8252	74.552	200.109	218.847	0	37.4102	0	31.2492	80.3765	0	0
YPR202W_mRNA	59.374	29.597	0	38.1359	38.8164	58.1399	31.7959	12.0979	33.4589	19.5426	43.3844	56.549	18.4198	34.7898	22.6789	0	66.0675	55.5002	47.7974	30.4444	0	69.5047	12.7705	35.4362
YPR200C_id001	8.67396	0	2.86972	4.17713	2.84342	4.98046	6.21377	0	3.86001	9.08066	3.28599	10.4413	0	3.63762	4.01295	6.82267	4.22153	5.18809	4.97476	7.27183	0	4.23576	4.95458	11.3298
YPR199C_id001	53.8115	0	53.7639	23.9879	54.185	41.0474	61.9189	38.1493	35.9557	0	37.9115	0	30.3334	43.9271	24.9202	12.2735	0	0	29.9833	34.4284	0	43.3523	23.1814	0
YPR196W_id001	11.1697	0	0	0	5.81428	0	9.49665	4.3386	5.72918	6.09317	0	8.05308	7.57953	3.60973	4.67318	4.85406	0	4.96509	7.19342	0	7.23503	7.06072	0	0
YPR193C_id002	9.20622	5.21579	6.62262	1.53897	2.13926	4.21351	6.35596	11.748	0	4.20815	0	0	0	2.04959	0	6.8266	2.35733	6.72139	0	0	4.24377	8.4764	3.96595	4.53453
YPR192W_id001	9.55861	0	0	0	0	19.6866	0	0	17.0316	0	0	0	0	10.6402	0	0	0	0	0	0	0	0	0	0
YPR188C_id003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YPR188C_id001	94.575	99.1156	98.2073	82.5527	96.5398	72.0298	59.7373	123.507	76.3183	0	86.5419	136.799	36.3334	95.6646	116.463	134.896	126.125	86.2766	163.962	68.5885	56.9785	42.3018	55.3178	93.1556
YPR186C_id001	0	0	0	8.64618	4.73247	0	0	0	0	0	25.6917	0	0	0	0	15.9775	14.8993	0	7.71934	10.2194	0	0	0	0
YPR185W_id001	34.5765	27.8604	29.4791	25.6889	30.7099	35.8699	34.6579	24.1859	36.2806	29.5024	32.8764	0	29.7001	0	15.6566	27.3497	0	0	0	0	0	22.6385	23.1703	22.7075
YPR184W_mRNA	14.2009	7.61299	16.6965	6.73885	11.4964	9.22508	16.0242	10.1326	12.6517	10.8885	11.3908	8.13389	22.1337	8.56684	12.3044	18.1166	30.0286	13.3781	9.18887	28.9639	14.7817	23.6196	19.3396	25.7223
