tx_id	gene_id
YAL069W_mRNA	YAL069W
YAL068W-A_mRNA	YAL068W-A
YAL068C_mRNA	YAL068C
YAL067W-A_mRNA	YAL067W-A
YAL067C_id001	YAL067C
YAL066W_id001	YAL066W
YAL064W-B_id001	YAL064W-B
YAL065C_mRNA	YAL065C
YAL064C-A_mRNA	YAL064C-A
YAL064W_mRNA	YAL064W
YAL063C-A_id001	YAL063C-A
YAL063C-A_id006	YAL063C-A
YAL063C_mRNA	YAL063C
YAL062W_id001	YAL062W
YAL062W_id003	YAL062W
YAL061W_id003	YAL061W
YAL061W_id001	YAL061W
YAL060W_id001	YAL060W
YAL060W_id014	YAL060W
YAL059W_id001	YAL059W
YAL059W_id002	YAL059W
YAL059C-A_mRNA	YAL059C-A
YAL058W_id001	YAL058W
YAL058W_id003	YAL058W
YAL056C-A_mRNA	YAL056C-A
YAL056W_id001	YAL056W
YAL056W_id006	YAL056W
YAL055W_id003	YAL055W
YAL055W_id001	YAL055W
YAL054C_id001	YAL054C
YAL053W_id001	YAL053W
YAL053W_id003	YAL053W
YAL051W_mRNA	YAL051W
YAL049C_id001	YAL049C
YAL049C_id002	YAL049C
YAL048C_mRNA	YAL048C
YAL047W-A_id001	YAL047W-A
YAL047W-A_id002	YAL047W-A
YAL047C_id001	YAL047C
YAL047C_id002	YAL047C
YAL046C_id001	YAL046C
YAL046C_id002	YAL046C
YAL044W-A_id001	YAL044W-A
YAL044W-A_id004	YAL044W-A
YAL045C_mRNA	YAL045C
YAL044C_id002	YAL044C
YAL044C_id001	YAL044C
YAL043C_id001	YAL043C
YAL043C_id002	YAL043C
YAL042C-A_mRNA	YAL042C-A
YAL042W_id005	YAL042W
YAL042W_id001	YAL042W
YAL041W_id003	YAL041W
YAL041W_id001	YAL041W
YAL040C_id001	YAL040C
YAL040C_id003	YAL040C
YAL039C_id002	YAL039C
YAL039C_id001	YAL039C
YAL038W_id001	YAL038W
YAL038W_id004	YAL038W
YAL037C-B_mRNA	YAL037C-B
YAL037C-A_id001	YAL037C-A
YAL037W_id001	YAL037W
YAL037W_id002	YAL037W
YAL036C_id001	YAL036C
YAL036C_id004	YAL036C
YAL035W_id002	YAL035W
YAL035W_id001	YAL035W
YAL034C-B_id001	YAL034C-B
YAL034W-A_id001	YAL034W-A
YAL034W-A_id002	YAL034W-A
YAL034C_id002	YAL034C
YAL034C_id001	YAL034C
YAL033W_id001	YAL033W
YAL033W_id003	YAL033W
YAL032C_id008	YAL032C
YAL032C_id001	YAL032C
YAL031C_id003	YAL031C
YAL031C_id001	YAL031C
YAL031W-A_mRNA	YAL031W-A
YAL030W_id002	YAL030W
YAL030W_id001	YAL030W
YAL029C_mRNA	YAL029C
YAL028W_id001	YAL028W
YAL028W_id005	YAL028W
YAL027W_id002	YAL027W
YAL027W_id001	YAL027W
YAL026C-A_mRNA	YAL026C-A
YAL026C_mRNA	YAL026C
YAL025C_id001	YAL025C
YAL025C_id002	YAL025C
YAL024C_mRNA	YAL024C
YAL023C_id001	YAL023C
YAL023C_id006	YAL023C
YAL022C_id002	YAL022C
YAL022C_id001	YAL022C
YAL021C_id002	YAL021C
YAL021C_id001	YAL021C
YAL020C_id001	YAL020C
YAL020C_id002	YAL020C
YAL019W-A_mRNA	YAL019W-A
YAL019W_id001	YAL019W
YAL018C_id001	YAL018C
YAL017W_mRNA	YAL017W
YAL016C-B_mRNA	YAL016C-B
YAL016C-A_mRNA	YAL016C-A
YAL016W_id002	YAL016W
YAL016W_id001	YAL016W
YAL015C_id002	YAL015C
YAL015C_id001	YAL015C
YAL014C_id001	YAL014C
YAL014C_id005	YAL014C
YAL013W_id001	YAL013W
YAL013W_id002	YAL013W
YAL012W_id001	YAL012W
YAL012W_id002	YAL012W
YAL011W_id001	YAL011W
YAL011W_id003	YAL011W
YAL010C_id001	YAL010C
YAL010C_id004	YAL010C
YAL009W_id001	YAL009W
YAL009W_id006	YAL009W
YAL008W_id001	YAL008W
YAL008W_id005	YAL008W
YAL007C_id002	YAL007C
YAL007C_id001	YAL007C
YAL004W_id001	YAL004W
YAL004W_id002	YAL004W
YAL005C_id001	YAL005C
YAL005C_id002	YAL005C
YAL003W_id001	YAL003W
YAL003W_id003	YAL003W
YAL002W_id001	YAL002W
YAL001C_mRNA	YAL001C
YAR002W_id002	YAR002W
YAR002W_id001	YAR002W
YAR002C-A_id001	YAR002C-A
YAR002C-A_id004	YAR002C-A
YAR003W_id002	YAR003W
YAR003W_id001	YAR003W
YAR007C_id002	YAR007C
YAR007C_id001	YAR007C
YAR008W_id002	YAR008W
YAR008W_id001	YAR008W
YAR009C	agat-transposable_element_gene-1
YAR014C_id002	YAR014C
YAR014C_id001	YAR014C
YAR015W_id003	YAR015W
YAR015W_id001	YAR015W
YAR018C_id002	YAR018C
YAR018C_id001	YAR018C
YAR019C_id001	YAR019C
YAR019W-A_mRNA	YAR019W-A
YAR020C_mRNA	YAR020C
YAR023C_id002	YAR023C
YAR023C_id001	YAR023C
YAR027W_id003	YAR027W
YAR027W_id001	YAR027W
YAR028W_id002	YAR028W
YAR028W_id001	YAR028W
YAR029W_id001	YAR029W
YAR029W_id003	YAR029W
YAR030C_id001	YAR030C
YAR031W_mRNA	YAR031W
YAR033W_id003	YAR033W
YAR033W_id001	YAR033W
YAR035W_id001	YAR035W
YAR035C-A_mRNA	YAR035C-A
YAR042W_id001	YAR042W
YAR042W_id002	YAR042W
YAR047C_mRNA	YAR047C
YAR050W_mRNA	YAR050W
YAR053W_id001	YAR053W
YAR060C_mRNA	YAR060C
YAR064W_mRNA	YAR064W
YAR066W_mRNA	YAR066W
YAR068W_mRNA	YAR068W
YAR069C_mRNA	YAR069C
YAR070C_mRNA	YAR070C
YAR071W_mRNA	YAR071W
YAR073W_mRNA	YAR073W
YAR075W_mRNA	YAR075W
YBL113C_mRNA	YBL113C
YBL113W-A_mRNA	YBL113W-A
YBL112C_mRNA	YBL112C
YBL111C_mRNA	YBL111C
YBL109W_mRNA	YBL109W
YBL108C-A_mRNA	YBL108C-A
YBL108W_mRNA	YBL108W
YBL107W-A_mRNA	YBL107W-A
YBL107C_id002	YBL107C
YBL107C_id001	YBL107C
YBL106C_mRNA	YBL106C
YBL105C_id002	YBL105C
YBL105C_id001	YBL105C
YBL104C_id001	YBL104C
YBL103C_id001	YBL103C
