bundle_id	module	report	type	local_path	relative_path	bytes	embedded_path	embedded_bytes	status
expression.multiqc	expression	multiqc	MultiQC	TAFFISH_RNASEQ_EXAMPLE_ROOT/rnaseq-standard-flow/tests/test-real-reference-out/03_results/report/03_results/collected_html/expression.multiqc/index.html	../03_results/collected_html/expression.multiqc/index.html	2692657	TAFFISH_RNASEQ_EXAMPLE_ROOT/rnaseq-standard-flow/tests/test-real-reference-out/03_results/report/03_results/collected_html/expression.multiqc/index.embedded.html	2692657	embedded
expression.fastqc_SNF2KO_01	expression	fastqc_SNF2KO_01	FastQC	TAFFISH_RNASEQ_EXAMPLE_ROOT/rnaseq-standard-flow/tests/test-real-reference-out/03_results/report/03_results/collected_html/expression.fastqc_SNF2KO_01/index.html	../03_results/collected_html/expression.fastqc_SNF2KO_01/index.html	637292	TAFFISH_RNASEQ_EXAMPLE_ROOT/rnaseq-standard-flow/tests/test-real-reference-out/03_results/report/03_results/collected_html/expression.fastqc_SNF2KO_01/index.embedded.html	637292	embedded
expression.fastqc_SNF2KO_02	expression	fastqc_SNF2KO_02	FastQC	TAFFISH_RNASEQ_EXAMPLE_ROOT/rnaseq-standard-flow/tests/test-real-reference-out/03_results/report/03_results/collected_html/expression.fastqc_SNF2KO_02/index.html	../03_results/collected_html/expression.fastqc_SNF2KO_02/index.html	639520	TAFFISH_RNASEQ_EXAMPLE_ROOT/rnaseq-standard-flow/tests/test-real-reference-out/03_results/report/03_results/collected_html/expression.fastqc_SNF2KO_02/index.embedded.html	639520	embedded
expression.fastqc_SNF2KO_03	expression	fastqc_SNF2KO_03	FastQC	TAFFISH_RNASEQ_EXAMPLE_ROOT/rnaseq-standard-flow/tests/test-real-reference-out/03_results/report/03_results/collected_html/expression.fastqc_SNF2KO_03/index.html	../03_results/collected_html/expression.fastqc_SNF2KO_03/index.html	641536	TAFFISH_RNASEQ_EXAMPLE_ROOT/rnaseq-standard-flow/tests/test-real-reference-out/03_results/report/03_results/collected_html/expression.fastqc_SNF2KO_03/index.embedded.html	641536	embedded
expression.fastqc_SNF2KO_04	expression	fastqc_SNF2KO_04	FastQC	TAFFISH_RNASEQ_EXAMPLE_ROOT/rnaseq-standard-flow/tests/test-real-reference-out/03_results/report/03_results/collected_html/expression.fastqc_SNF2KO_04/index.html	../03_results/collected_html/expression.fastqc_SNF2KO_04/index.html	639432	TAFFISH_RNASEQ_EXAMPLE_ROOT/rnaseq-standard-flow/tests/test-real-reference-out/03_results/report/03_results/collected_html/expression.fastqc_SNF2KO_04/index.embedded.html	639432	embedded
expression.fastqc_SNF2KO_05	expression	fastqc_SNF2KO_05	FastQC	TAFFISH_RNASEQ_EXAMPLE_ROOT/rnaseq-standard-flow/tests/test-real-reference-out/03_results/report/03_results/collected_html/expression.fastqc_SNF2KO_05/index.html	../03_results/collected_html/expression.fastqc_SNF2KO_05/index.html	635140	TAFFISH_RNASEQ_EXAMPLE_ROOT/rnaseq-standard-flow/tests/test-real-reference-out/03_results/report/03_results/collected_html/expression.fastqc_SNF2KO_05/index.embedded.html	635140	embedded
expression.fastqc_SNF2KO_06	expression	fastqc_SNF2KO_06	FastQC	TAFFISH_RNASEQ_EXAMPLE_ROOT/rnaseq-standard-flow/tests/test-real-reference-out/03_results/report/03_results/collected_html/expression.fastqc_SNF2KO_06/index.html	../03_results/collected_html/expression.fastqc_SNF2KO_06/index.html	637256	TAFFISH_RNASEQ_EXAMPLE_ROOT/rnaseq-standard-flow/tests/test-real-reference-out/03_results/report/03_results/collected_html/expression.fastqc_SNF2KO_06/index.embedded.html	637256	embedded
expression.fastqc_SNF2KO_07	expression	fastqc_SNF2KO_07	FastQC	TAFFISH_RNASEQ_EXAMPLE_ROOT/rnaseq-standard-flow/tests/test-real-reference-out/03_results/report/03_results/collected_html/expression.fastqc_SNF2KO_07/index.html	../03_results/collected_html/expression.fastqc_SNF2KO_07/index.html	636276	TAFFISH_RNASEQ_EXAMPLE_ROOT/rnaseq-standard-flow/tests/test-real-reference-out/03_results/report/03_results/collected_html/expression.fastqc_SNF2KO_07/index.embedded.html	636276	embedded
expression.fastqc_SNF2KO_08	expression	fastqc_SNF2KO_08	FastQC	TAFFISH_RNASEQ_EXAMPLE_ROOT/rnaseq-standard-flow/tests/test-real-reference-out/03_results/report/03_results/collected_html/expression.fastqc_SNF2KO_08/index.html	../03_results/collected_html/expression.fastqc_SNF2KO_08/index.html	640959	TAFFISH_RNASEQ_EXAMPLE_ROOT/rnaseq-standard-flow/tests/test-real-reference-out/03_results/report/03_results/collected_html/expression.fastqc_SNF2KO_08/index.embedded.html	640959	embedded
expression.fastqc_SNF2KO_09	expression	fastqc_SNF2KO_09	FastQC	TAFFISH_RNASEQ_EXAMPLE_ROOT/rnaseq-standard-flow/tests/test-real-reference-out/03_results/report/03_results/collected_html/expression.fastqc_SNF2KO_09/index.html	../03_results/collected_html/expression.fastqc_SNF2KO_09/index.html	639552	TAFFISH_RNASEQ_EXAMPLE_ROOT/rnaseq-standard-flow/tests/test-real-reference-out/03_results/report/03_results/collected_html/expression.fastqc_SNF2KO_09/index.embedded.html	639552	embedded
expression.fastqc_SNF2KO_10	expression	fastqc_SNF2KO_10	FastQC	TAFFISH_RNASEQ_EXAMPLE_ROOT/rnaseq-standard-flow/tests/test-real-reference-out/03_results/report/03_results/collected_html/expression.fastqc_SNF2KO_10/index.html	../03_results/collected_html/expression.fastqc_SNF2KO_10/index.html	642404	TAFFISH_RNASEQ_EXAMPLE_ROOT/rnaseq-standard-flow/tests/test-real-reference-out/03_results/report/03_results/collected_html/expression.fastqc_SNF2KO_10/index.embedded.html	642404	embedded
