metric	value
project_name	Yeast SNF2 RNA-seq reference standard
flow	rnaseq-report-flow
version	0.3.0-r2
started_at	2026-06-12T14:28:21Z
finished_at	2026-06-12T14:28:29Z
analysis_mode	reference
standard_out	TAFFISH_RNASEQ_EXAMPLE_ROOT/rnaseq-standard-flow/tests/test-real-reference-out
standard_report_package	no
denovo_present	no
denovo_assembly_out	.
denovo_expression_out	.
denovo_annotation_out	.
provided_modules	8
collected_files	137
collected_tables	56
collected_plots	28
collected_html_reports	53
embedded_html_reports	53
embedded_tables	56
report_template	taffish-flow-report
report_template_version	0.1.0
plot_groups	14
html_report_links	53
