transcript_id	protein_id	denovo_feature_id	best_hit_id	annotation_status
TRINITY_DN0_c0_g1_i1	TRINITY_DN0_c0_g1_i1.p1	TRINITY_DN0_c0_g1_i1		no_hit
TRINITY_DN1000_c0_g1_i1	TRINITY_DN1000_c0_g1_i1.p1	TRINITY_DN1000_c0_g1_i1	YKL070W	homology_hit_with_go
TRINITY_DN1001_c0_g1_i1	TRINITY_DN1001_c0_g1_i1.p1	TRINITY_DN1001_c0_g1_i1	YDR049W	homology_hit_with_go
TRINITY_DN1003_c0_g1_i1	TRINITY_DN1003_c0_g1_i1.p1	TRINITY_DN1003_c0_g1_i1	YGL172W	homology_hit_with_go
TRINITY_DN1004_c0_g1_i1	TRINITY_DN1004_c0_g1_i1.p1	TRINITY_DN1004_c0_g1_i1		no_hit
TRINITY_DN1006_c0_g1_i1	TRINITY_DN1006_c0_g1_i1.p1	TRINITY_DN1006_c0_g1_i1	YMR085W	homology_hit_with_go
TRINITY_DN1007_c0_g1_i1	TRINITY_DN1007_c0_g1_i1.p1	TRINITY_DN1007_c0_g1_i1	YBR042C	homology_hit_with_go
TRINITY_DN1008_c0_g1_i1	TRINITY_DN1008_c0_g1_i1.p1	TRINITY_DN1008_c0_g1_i1	YPL086C	homology_hit_with_go
TRINITY_DN1009_c0_g1_i1	TRINITY_DN1009_c0_g1_i1.p1	TRINITY_DN1009_c0_g1_i1	YPR134W	homology_hit_with_go
TRINITY_DN100_c0_g1_i1	TRINITY_DN100_c0_g1_i1.p1	TRINITY_DN100_c0_g1_i1	YGL076C	homology_hit_with_go
TRINITY_DN100_c0_g1_i2	TRINITY_DN100_c0_g1_i2.p1	TRINITY_DN100_c0_g1_i2	YGL076C	homology_hit_with_go
TRINITY_DN1010_c0_g1_i1	TRINITY_DN1010_c0_g1_i1.p1	TRINITY_DN1010_c0_g1_i1	YJL051W	homology_hit_with_go
TRINITY_DN1011_c0_g1_i1	TRINITY_DN1011_c0_g1_i1.p1	TRINITY_DN1011_c0_g1_i1	YLR080W	homology_hit_with_go
TRINITY_DN1012_c0_g1_i1	TRINITY_DN1012_c0_g1_i1.p1	TRINITY_DN1012_c0_g1_i1	YLL010C	homology_hit_with_go
TRINITY_DN1013_c0_g1_i1	TRINITY_DN1013_c0_g1_i1.p1	TRINITY_DN1013_c0_g1_i1	YLR152C	homology_hit_with_go
TRINITY_DN1015_c0_g1_i1	TRINITY_DN1015_c0_g1_i1.p1	TRINITY_DN1015_c0_g1_i1	YCR030C	homology_hit_with_go
TRINITY_DN1016_c0_g1_i1	TRINITY_DN1016_c0_g1_i1.p1	TRINITY_DN1016_c0_g1_i1	YHR082C	homology_hit_with_go
TRINITY_DN1017_c0_g1_i1	TRINITY_DN1017_c0_g1_i1.p1	TRINITY_DN1017_c0_g1_i1	YGR202C	homology_hit_with_go
TRINITY_DN1018_c0_g1_i1	TRINITY_DN1018_c0_g1_i1.p1	TRINITY_DN1018_c0_g1_i1	YJR011C	homology_hit_with_go
TRINITY_DN1019_c0_g1_i1	TRINITY_DN1019_c0_g1_i1.p1	TRINITY_DN1019_c0_g1_i1	YBR112C	homology_hit_with_go
TRINITY_DN101_c0_g1_i1	TRINITY_DN101_c0_g1_i1.p1	TRINITY_DN101_c0_g1_i1	YGR034W	homology_hit_with_go
TRINITY_DN1021_c0_g1_i1	TRINITY_DN1021_c0_g1_i1.p1	TRINITY_DN1021_c0_g1_i1	YNL065W	homology_hit_with_go
TRINITY_DN1022_c0_g1_i1	TRINITY_DN1022_c0_g1_i1.p1	TRINITY_DN1022_c0_g1_i1	YMR124W	homology_hit_with_go
TRINITY_DN1023_c0_g1_i1	TRINITY_DN1023_c0_g1_i1.p1	TRINITY_DN1023_c0_g1_i1	YLR187W	homology_hit_with_go
TRINITY_DN1024_c0_g1_i1	TRINITY_DN1024_c0_g1_i1.p1	TRINITY_DN1024_c0_g1_i1	YPR143W	homology_hit_with_go
TRINITY_DN1025_c0_g1_i1	TRINITY_DN1025_c0_g1_i1.p1	TRINITY_DN1025_c0_g1_i1	YBR151W	homology_hit_with_go
TRINITY_DN1026_c0_g1_i1	TRINITY_DN1026_c0_g1_i1.p1	TRINITY_DN1026_c0_g1_i1	YJL044C	homology_hit_with_go
TRINITY_DN1027_c0_g1_i1	TRINITY_DN1027_c0_g1_i1.p1	TRINITY_DN1027_c0_g1_i1	YLR453C	homology_hit_with_go
TRINITY_DN1028_c0_g1_i1	TRINITY_DN1028_c0_g1_i1.p1	TRINITY_DN1028_c0_g1_i1	YBL009W	homology_hit_with_go
TRINITY_DN102_c0_g1_i1	TRINITY_DN102_c0_g1_i1.p1	TRINITY_DN102_c0_g1_i1	YML056C	homology_hit_with_go
TRINITY_DN1030_c0_g1_i1	TRINITY_DN1030_c0_g1_i1.p1	TRINITY_DN1030_c0_g1_i1	YBR255W	homology_hit_with_go
TRINITY_DN1031_c0_g1_i1	TRINITY_DN1031_c0_g1_i1.p1	TRINITY_DN1031_c0_g1_i1	YBR183W	homology_hit_with_go
TRINITY_DN1032_c0_g1_i1	TRINITY_DN1032_c0_g1_i1.p1	TRINITY_DN1032_c0_g1_i1	YDR195W	homology_hit_with_go
TRINITY_DN1033_c0_g1_i1	TRINITY_DN1033_c0_g1_i1.p1	TRINITY_DN1033_c0_g1_i1	YLL028W	homology_hit_with_go
TRINITY_DN1034_c0_g1_i1	TRINITY_DN1034_c0_g1_i1.p1	TRINITY_DN1034_c0_g1_i1	YBR135W	homology_hit_with_go
TRINITY_DN1035_c0_g1_i1	TRINITY_DN1035_c0_g1_i1.p1	TRINITY_DN1035_c0_g1_i1	YNL147W	homology_hit_with_go
TRINITY_DN1036_c0_g1_i1	TRINITY_DN1036_c0_g1_i1.p1	TRINITY_DN1036_c0_g1_i1	YGR083C	homology_hit_with_go
TRINITY_DN1038_c0_g1_i1	TRINITY_DN1038_c0_g1_i1.p1	TRINITY_DN1038_c0_g1_i1	YMR224C	homology_hit_with_go
TRINITY_DN1039_c0_g1_i1	TRINITY_DN1039_c0_g1_i1.p1	TRINITY_DN1039_c0_g1_i1	YFL008W	homology_hit_with_go
TRINITY_DN103_c0_g1_i1	TRINITY_DN103_c0_g1_i1.p1	TRINITY_DN103_c0_g1_i1	YOL039W	homology_hit_with_go
TRINITY_DN103_c0_g1_i2	TRINITY_DN103_c0_g1_i2.p1	TRINITY_DN103_c0_g1_i2	YOL039W	homology_hit_with_go
TRINITY_DN1040_c0_g1_i1	TRINITY_DN1040_c0_g1_i1.p1	TRINITY_DN1040_c0_g1_i1	YPR040W	homology_hit_with_go
TRINITY_DN1041_c0_g1_i1	TRINITY_DN1041_c0_g1_i1.p1	TRINITY_DN1041_c0_g1_i1	YBR172C	homology_hit_with_go
TRINITY_DN1041_c1_g1_i1	TRINITY_DN1041_c1_g1_i1.p1	TRINITY_DN1041_c1_g1_i1	YBR172C	homology_hit_with_go
TRINITY_DN1042_c0_g1_i1	TRINITY_DN1042_c0_g1_i1.p1	TRINITY_DN1042_c0_g1_i1	YDL044C	homology_hit_with_go
TRINITY_DN1043_c0_g1_i1	TRINITY_DN1043_c0_g1_i1.p1	TRINITY_DN1043_c0_g1_i1	YHR090C	homology_hit_with_go
TRINITY_DN1044_c0_g1_i1	TRINITY_DN1044_c0_g1_i1.p1	TRINITY_DN1044_c0_g1_i1	YKL205W	homology_hit_with_go
TRINITY_DN1045_c0_g1_i1	TRINITY_DN1045_c0_g1_i1.p1	TRINITY_DN1045_c0_g1_i1	YPL198W	homology_hit_with_go
TRINITY_DN1046_c0_g1_i1	TRINITY_DN1046_c0_g1_i1.p1	TRINITY_DN1046_c0_g1_i1	YHR048W	homology_hit_with_go
TRINITY_DN1047_c0_g1_i1	TRINITY_DN1047_c0_g1_i1.p1	TRINITY_DN1047_c0_g1_i1	YOR152C	homology_hit_with_go
TRINITY_DN1048_c0_g1_i1	TRINITY_DN1048_c0_g1_i1.p1	TRINITY_DN1048_c0_g1_i1	YGR077C	homology_hit_with_go
TRINITY_DN1049_c0_g1_i1	TRINITY_DN1049_c0_g1_i1.p1	TRINITY_DN1049_c0_g1_i1	YER079W	homology_hit_with_go
TRINITY_DN104_c0_g1_i1	TRINITY_DN104_c0_g1_i1.p1	TRINITY_DN104_c0_g1_i1	YLR155C	homology_hit_with_go
TRINITY_DN1050_c0_g1_i1	TRINITY_DN1050_c0_g1_i1.p1	TRINITY_DN1050_c0_g1_i1	YNL086W	homology_hit_with_go
TRINITY_DN1051_c0_g1_i1	TRINITY_DN1051_c0_g1_i1.p1	TRINITY_DN1051_c0_g1_i1	YNL047C	homology_hit_with_go
TRINITY_DN1052_c0_g1_i1	TRINITY_DN1052_c0_g1_i1.p1	TRINITY_DN1052_c0_g1_i1	YDL164C	homology_hit_with_go
TRINITY_DN1053_c0_g1_i1	TRINITY_DN1053_c0_g1_i1.p1	TRINITY_DN1053_c0_g1_i1	YOL027C	homology_hit_with_go
TRINITY_DN1054_c0_g1_i1	TRINITY_DN1054_c0_g1_i1.p1	TRINITY_DN1054_c0_g1_i1	YDR239C	homology_hit_with_go
TRINITY_DN1055_c0_g1_i1	TRINITY_DN1055_c0_g1_i1.p1	TRINITY_DN1055_c0_g1_i1	YGR120C	homology_hit_with_go
TRINITY_DN1056_c0_g1_i1	TRINITY_DN1056_c0_g1_i1.p1	TRINITY_DN1056_c0_g1_i1	YMR137C	homology_hit_with_go
TRINITY_DN1057_c0_g1_i1	TRINITY_DN1057_c0_g1_i1.p1	TRINITY_DN1057_c0_g1_i1	YDR336W	homology_hit_with_go
TRINITY_DN1058_c0_g1_i1	TRINITY_DN1058_c0_g1_i1.p1	TRINITY_DN1058_c0_g1_i1	YPL009C	homology_hit_with_go
TRINITY_DN1059_c0_g1_i1	TRINITY_DN1059_c0_g1_i1.p1	TRINITY_DN1059_c0_g1_i1	YBL041W	homology_hit_with_go
TRINITY_DN105_c0_g1_i1	TRINITY_DN105_c0_g1_i1.p1	TRINITY_DN105_c0_g1_i1	YPL084W	homology_hit_with_go
TRINITY_DN1061_c0_g1_i1	TRINITY_DN1061_c0_g1_i1.p1	TRINITY_DN1061_c0_g1_i1	YER013W	homology_hit_with_go
