protein_id	subject_id	percent_identity	alignment_length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	subject_title	rank
TRINITY_DN1000_c0_g1_i1.p1	YCR020C	100	67	0	0	1	67	125	191	2.04e-51	157	YCR020C PET18 SGDID:S000000613, Chr III from 154659-154012, Genome Release 64-4-1, reverse complement, Verified ORF, "Protein of unknown function; has weak similarity to proteins involved in thiamin metabolism; expression is induced in the absence of thiamin"	1
TRINITY_DN1001_c0_g1_i1.p1	YPL104W	100	146	0	0	1	146	28	173	8.47e-93	280	YPL104W MSD1 SGDID:S000006025, Chr XVI from 355700-357676, Genome Release 64-4-1, Verified ORF, "Mitochondrial aspartyl-tRNA synthetase; required for acylation of aspartyl-tRNA; yeast and bacterial aspartyl-, asparaginyl-, and lysyl-tRNA synthetases contain regions with high sequence similarity, suggesting a common ancestral gene"	1
TRINITY_DN1002_c0_g1_i1.p1	YNL072W	100	307	0	0	1	307	1	307	1.42e-225	612	YNL072W RNH201 SGDID:S000005016, Chr XIV from 490317-491240, Genome Release 64-4-1, Verified ORF, "Ribonuclease H2 catalytic subunit; removes RNA primers during Okazaki fragment synthesis and errant ribonucleotides misincorporated during DNA replication; role in ribonucleotide excision repair; homolog of RNAse HI; related to human AGS4 which causes Aicardi-Goutieres syndrome"	1
TRINITY_DN1003_c0_g1_i1.p1	YLR287C	100	290	0	0	1	290	66	355	2.34e-206	565	YLR287C YLR287C SGDID:S000004277, Chr XII from 712058-710991, Genome Release 64-4-1, reverse complement, Uncharacterized ORF, "Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm; YLR287C is not an essential gene"	1
TRINITY_DN1004_c0_g1_i1.p1	YOL129W	100	184	0	0	1	184	1	184	4.25e-134	370	YOL129W VPS68 SGDID:S000005489, Chr XV from 77560-78114, Genome Release 64-4-1, Verified ORF, "Vacuolar membrane protein of unknown function; involved in vacuolar protein sorting; also detected in the mitochondria"	1
TRINITY_DN1005_c0_g1_i1.p1	YDL120W	100	174	0	0	1	174	1	174	4.65e-124	344	YDL120W YFH1 SGDID:S000002278, Chr IV from 245923-246447, Genome Release 64-4-1, Verified ORF, "Mitochondrial matrix iron chaperone; oxidizes and stores iron; interacts with Isu1p to promote Fe-S cluster assembly; mutation results in multiple Fe/S-dependent enzyme deficiencies; human frataxin homolog FXN is mutated in Friedrich's ataxia; human FTL gene can complement yeast yfh1 null mutant"	1
TRINITY_DN1006_c0_g1_i1.p1	YJL060W	100	444	0	0	9	452	1	444	0.0	893	YJL060W BNA3 SGDID:S000003596, Chr X from 323386-324720, Genome Release 64-4-1, Verified ORF, "Kynurenine aminotransferase; catalyzes formation of kynurenic acid from kynurenine; potential Cdc28p substrate"	1
TRINITY_DN1007_c0_g1_i1.p1	YLR152C	100	284	0	0	1	284	293	576	1.08e-201	561	YLR152C YLR152C SGDID:S000004142, Chr XII from 444688-442958, Genome Release 64-4-1, reverse complement, Uncharacterized ORF, "Putative protein of unknown function; YLR152C is not an essential gene"	1
TRINITY_DN1008_c0_g1_i1.p1	YCR106W	100	111	0	0	1	111	652	762	1.84e-70	223	YCR106W RDS1 SGDID:S000000703, Chr III from 310958-313456, Genome Release 64-4-1, Verified ORF, "Putative zinc cluster transcription factor; involved in conferring resistance to cycloheximide"	1
TRINITY_DN1009_c0_g1_i1.p1	YLR172C	100	300	0	0	1	300	1	300	1.46e-219	596	YLR172C DPH5 SGDID:S000004162, Chr XII from 502162-501260, Genome Release 64-4-1, reverse complement, Verified ORF, "Methyltransferase required for synthesis of diphthamide; diphthamide is a modified histidine residue of translation elongation factor 2 (Eft1p or Eft2p); not essential for viability; GFP-Dph5p fusion protein localizes to the cytoplasm"	1
